Index,Quarter-Year,Question,Question_cleaned,Asked By,Role of the person asked the question,Answer,Answer_cleaned,Answered By,Role of the person answered the question
25,2Q23,"Morning. Jeremy, on page 4 of your presentation, you show some liquidity metrics. And there's been a meaningful depletion of some of that excess liquidity, obviously for First Republic primarily. So my question is how quickly do you want to rebuild that liquidity because as I look out towards 2024, there's probably a half dozen variables that are going to make liquidity a premium event 
 to have excess liquidity? So that's my first question. What's your plans for replenishing that liquidity?",['morning jeremy page 4 presentation show liquidity metrics theres meaningful depletion excess liquidity obviously first republic primarily question quickly want rebuild liquidity look towards 2024 theres probably half dozen variables going make liquidity premium event excess liquidity thats first question whats plans replenishing liquidity'],Charles W. Peabody,"Analyst, Portales Partners LLC","Yeah. Charlie, so I know we talked about this a little bit at Investor Day, right? So as I said in my prepared remarks, yeah, we think about half of the change in the bank LCR number is a consequence of First Republic and the rest of it is just the expected decrease in system-wide deposits flowing through into our HQLA balances and the bank LCR ratio. So that's all entirely as expected and therefore, I think that the replenishing notion is not correct. In fact, obviously, we still have ample, ample liquidity. Now, if you want to project trends forward, that's a different story but that's sort of the business of banking. We'll adjust accordingly in terms of our asset and liability mix across different products and to ensure compliance to the ratios and fortress balance sheet principles as you would expect from us. And I would just add to that 
 just look at the top of the page in the press release, $1.4 trillion of cash and marketable securities. Even if we get down to no excess, we're going to have like, I forgot the exact number, $1.2 trillion. I think we have excess liquidity, and the liquidity ratio is slightly something different. I think there's plenty of liquidity in the system and, of course, we do multiple things to change this overnight if we wanted to.",['yeah charlie know talked little bit investor day right said prepared remarks yeah think half change bank lcr number consequence first republic rest expected decrease system-wide deposits flowing hqla balances bank lcr ratio thats entirely expected therefore think replenishing notion correct fact obviously still ample ample liquidity now want project trends forward thats different story thats sort business banking well adjust accordingly terms asset liability mix across different products ensure compliance ratios fortress balance sheet principles would expect us would add look top page press release $14 trillion cash marketable securities even get excess were going like forgot exact number $12 trillion think excess liquidity liquidity ratio slightly something different think theres plenty liquidity system and course multiple things change overnight wanted to'],"Jeremy Barnum, Jamie Dimon","Chief Financial Officer, JPMorgan Chase & Co., Chairman & Chief Executive Officer, JPMorgan Chase & Co."
26,2Q23,And we have no further questions at this time.,['questions time'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Thank you, guys.",['thank you guys'],Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase & Co."
27,3Q23,"Hi, good morning. Jeremy, I was wondering if you could give us a little more color in what you're seeing so far on deposit re price and migration. What's been better than expected so far on that front? And how do you see higher-for-longer rates potentially impacting deposit reprice pressure?",['hi good morning jeremy wondering could give us little color seeing far deposit price migration whats better expected far front see higher-for-longer rates potentially impacting deposit reprice pressure'],John McDonald,"Analyst, Autonomous Research","Sure. Thanks, John. I think the themes are pretty much the same as we've seen in prior quarters. So, as we talked a little bit about on the press call, we've been trying to be a little bit cautious about recognizing that we don't think the current levels are sustainable and we do think that we'll have to reprice in some pockets to some degree, maybe tiering or whatever at some point in the future. And, of course, that hasn't happened yet this year, so that's one factor. In the meantime, the CD strategy is working well. We're getting â€“ continue to get very good feedback from the field and we're capturing money in motion, and so we're seeing the sort of internal migration and the associated slow increase in deposit rate paid as a result of CD migration. But thatâ€™s sort of working as we would have hoped and so everything is kind of playing out according to plan, I would say. In terms of higher-for-longer, I think it just means that there will continue to be upward pressure on deposit pricing both from internal migration and possibly moderate effects. And in the end, as we always say, weâ€™re going to price products as a function of the competitive market environment.",['sure thanks john think themes pretty much weve seen prior quarters so talked little bit press call weve trying little bit cautious recognizing think current levels sustainable think well reprice pockets degree maybe tiering whatever point future and course happened yet year thats one factor meantime cd strategy working well were getting â€“ continue get good feedback field were capturing money motion were seeing sort internal migration associated slow increase deposit rate paid result cd migration thatâ€™s sort working would hoped everything kind playing according plan would say terms higher-for-longer think means continue upward pressure deposit pricing internal migration possibly moderate effects end always say weâ€™re going price products function competitive market environment'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co."
28,3Q23,"Hi. Jeremy, I was hoping to just inquire about the capital markets outlook. You cited improved activity levels in September. But given persistently higher rates, geopolitical tensions, and just poor performance of recent IPOs, how are you thinking about the outlook over the near to medium term? And how are you thinking about just the timing of an inflection activity?",['hi jeremy hoping inquire capital markets outlook cited improved activity levels september given persistently higher rates geopolitical tensions poor performance recent ipos thinking outlook near medium term thinking timing inflection activity'],Steven Chubak,"Analyst, Wolfe Research LLC","Yeah. Good question. I mean, as you know obviously, the current levels in investment banking remain quite depressed; certainly relative to the elevated levels we saw during the pandemic, but even relative to sort of 2019, which is what you might consider the last normal year. We do eventually think we'll recover to those levels and hopefully recover to above those levels, recognizing by the time it happens you will have had many years of economic growth in the meantime. And to be fair, while the current environment is a little bit complicated and mixed and there are some headwinds as you pointed out, things have improved a little bit. And I think I would say our banking team is a little bit more optimistic than they were last quarter. So it feels to me like a little bit of a slow grind with some positive momentum but obviously significant uncertainty in the outlook and some structural headwinds given lower levels of announced M&A and some regulatory headwinds on that side.",['yeah good question mean know obviously current levels investment banking remain quite depressed; certainly relative elevated levels saw pandemic even relative sort 2019 might consider last normal year eventually think well recover levels hopefully recover levels recognizing time happens many years economic growth meantime fair current environment little bit complicated mixed headwinds pointed out things improved little bit think would say banking team little bit optimistic last quarter feels like little bit slow grind positive momentum obviously significant uncertainty outlook structural headwinds given lower levels announced m&a regulatory headwinds side'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co."
29,3Q23,"Hey. Good morning. Just first question, Jeremy, on credit. I think you mentioned some of the reserves release was tied to the change in the central scenario. So just talk to us and remind us what the central scenario is today, what changed? And then in terms of fundamentally on credit, like where are you seeing softness either on the Consumer or the Commercial side?",['hey good morning first question jeremy credit think mentioned reserves release tied change central scenario talk us remind us central scenario today changed terms fundamentally credit like seeing softness either consumer commercial side'],Ebrahim H. Poonawala,"Analyst, Bank of America Merrill Lynch","Yeah. So on the central scenario, you should read the research that gets put out by our competitors and our excellent research team. No, but in all seriousness, I think our U.S. economists had their central case outlook to include a very mild recession with I think two quarters of negative half a percent of GDP growth in the fourth quarter and first quarter of this year, and that then got revised out early this quarter to now have sort of modest growth I think around 1% for a few quarters into 2024. So, just flowing that through our process while acknowledging that we're still skewed to the downside, we're still reserved to a significantly higher unemployment rate on a weighted-average basis than is in the central case outlook. So that number we've sometimes given you is 5.5% this quarter. So, it's really not much more complicated than that. We're just kind of following the process. And I think your other question was where am I seeing softness in credit? And I think the answer to that is actually nowhere, roughly. We're certainly nowhere that's not expected, meaning, we continue to see the normalization story play out in Consumer more or less exactly as expected, and then of course, we are seeing a trickle of charge-offs coming through the office space. You see that in the charge-off number of the Commercial Bank, but the numbers are very small and more or less just the realization of the allowance that we've already built there.",['yeah central scenario read research gets put competitors excellent research team no seriousness think us economists central case outlook include mild recession think two quarters negative half percent gdp growth fourth quarter first quarter year got revised early quarter sort modest growth think around 1% quarters 2024 so flowing process acknowledging were still skewed downside were still reserved significantly higher unemployment rate weighted-average basis central case outlook number weve sometimes given 55% quarter so really much complicated that were kind following process think question seeing softness credit think answer actually nowhere roughly were certainly nowhere thats expected meaning continue see normalization story play consumer less exactly expected course seeing trickle charge-offs coming office space see charge-off number commercial bank numbers small less realization allowance weve already built there'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co."
30,3Q23,Want to dig in on the NII side. So you raised the 2023 NII ex. Markets guidance by $2 billion for this year. So I know your comments in the press release suggest JPMorgan's over earning. So I just want to triangulate there. What does normalized NII look like? And do we get to normalized next year or later on?,['want dig nii side raised 2023 nii ex markets guidance $2 billion year know comments press release suggest jpmorgans earning want triangulate there normalized nii look like get normalized next year later on'],Ryan Kenny,"Analyst, Morgan Stanley & Co. LLC","Yeah, a couple things. So, let me do the timing question first. So we're being very clear that we are not predicting when. When is going to be a function of the marketplace and the rate environment and competitive dynamics and so on and so forth. So we're just really just trying to remind everyone to not bank on the current run rates, which we just don't fundamentally think are sustainable. You'll be aware that before Investor Day earlier this year, we tried to quantify what we thought that kind of normalized range might look like, and we put a sort of mid-70s type number out there. And at Investor Day, we talked about how the acquisition of First Republic was going to push that number up a little bit, although there was some overlap and so on and so forth. So anyway, with the benefit of time and having everything settled in a little bit, if you sort of push us for that, kind of, what is that number now look like, we think itâ€™s probably closer to about $80 billion, with all of the obvious caveats that this is a guess, and we donâ€™t know when. But weâ€™re just trying to point out that itâ€™s quite a bit lower than the current run rate.",['yeah couple things so let timing question first were clear predicting when going function marketplace rate environment competitive dynamics forth were really trying remind everyone bank current run rates fundamentally think sustainable aware investor day earlier year tried quantify thought kind normalized range might look like put sort mid-70s type number there investor day talked acquisition first republic going push number little bit although overlap forth anyway benefit time everything settled little bit sort push us that kind of number look like think itâ€™s probably closer $80 billion obvious caveats guess donâ€™t know when weâ€™re trying point itâ€™s quite bit lower current run rate'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co."
31,3Q23,"And then on the loan growth side, industry loan growth has slowed significantly this year. What demand are you seeing for loan growth across the different categories? And I know it might be too early to talk about next year, but directionally, how should we think about loan growth given where we are in the cycle and the higher capital requirements coming?",['loan growth side industry loan growth slowed significantly year demand seeing loan growth across different categories know might early talk next year directionally think loan growth given cycle higher capital requirements coming'],Ryan Kenny,"Analyst, Morgan Stanley & Co. LLC","Yeah, sure. So on loan growth, the story is pretty consistent with what we've been saying all year. So we've, of course, seen very robust loan growth in Card, and that's coming from both spending growth and the normalization in revolving balances. As we look forward, we're still optimistic about that, but it'll probably be a little bit more muted than it has been during this normalization period. In Auto, we've also seen pretty robust loan growth recently, both as a function of sort of slightly more competitive pricing on our side as the industry was a little bit slow to raise rates. And so we lost some share previously, and that's come back now. And generally, the supply chain situation is better, so that's been supported. As we look forward there, it should be a little bit more muted. And I think generally in Wholesale the loan growth story is going to be driven just by the economic environment. So depending on what you believe about soft landing, mild recession, no landing, you have slightly lower or slightly higher loan growth. But in any case, I would expect it to be relatively muted. And, of course, Home Lending remains fairly constrained both by rates and market conditions. But also, and I think this is true across the board, we will be managing things actively, as mentioned in light of Basel III, which may not change originations, but it will change what we retain.",['yeah sure loan growth story pretty consistent weve saying year weve course seen robust loan growth card thats coming spending growth normalization revolving balances look forward were still optimistic that itll probably little bit muted normalization period auto weve also seen pretty robust loan growth recently function sort slightly competitive pricing side industry little bit slow raise rates lost share previously thats come back now generally supply chain situation better thats supported look forward there little bit muted think generally wholesale loan growth story going driven economic environment depending believe soft landing mild recession landing slightly lower slightly higher loan growth case would expect relatively muted and course home lending remains fairly constrained rates market conditions also think true across board managing things actively mentioned light basel iii may change originations change retain'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co."
32,3Q23,"Jeremy, you guys have put up a really strong ROTCE number of 22% for the quarter. And when you dive into your different segments, what really jumps out at us is the 40% ex-First Republic ROE in Consumer & Community Banking. I know you and Jamie have talked about your over-earning on credit. We get that. But in view of all of these fintechs and all of these other nonbank competitors that we're all supposed to pick away at everybody's market share, you guys have put up great numbers here. What's the drivers behind an ROE? Even when you take that credit over-earning out, what's driving this business' profitability at such high levels?",['jeremy guys put really strong rotce number 22% quarter dive different segments really jumps us 40% ex-first republic roe consumer & community banking know jamie talked over-earning credit get that view fintechs nonbank competitors were supposed pick away everybodys market share guys put great numbers here whats drivers behind roe even take credit over-earning out whats driving business profitability high levels'],Gerard Cassidy,"Analyst, RBC Capital Markets LLC","Yeah, Gerard. So I'd say a couple things there. So first, it's not just credit. It's also deposit margin, right? So when we talk about over-earning on NII, a disproportionate amount of that is coming out of the Consumer franchise for all of the reasons that we've talked about. But, I would also point out sometimes we don't like the word over-earning because right now, customers are happy and they're doing CDs. And the broader answer to your question about why we're able to be effectively really comes back to a decade, two decade long history of investing for the future and recognizing that there's a holistic value proposition here that includes branches, and the app, and all of the online services, and the entire suite of products and services that is around this enterprise which drives engagement and customer loyalty. And we're seeing some of the benefits of that now, although we're not complacent. The competition is still there. The fintechs are still there, and we know we need to continue investing to preserve the value. And it's also true that the particular circumstances of the current rate and credit environment mean that the earnings are a little bit above normal, but that core franchise is extremely robust.",['yeah gerard id say couple things there first credit also deposit margin right talk over-earning nii disproportionate amount coming consumer franchise reasons weve talked about but would also point sometimes like word over-earning right now customers happy theyre cds broader answer question were able effectively really comes back decade two decade long history investing future recognizing theres holistic value proposition includes branches app online services entire suite products services around enterprise drives engagement customer loyalty were seeing benefits now although were complacent competition still there fintechs still there know need continue investing preserve value also true particular circumstances current rate credit environment mean earnings little bit normal core franchise extremely robust'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co."
33,3Q23,"Your new guide for net interest income for this year would imply an exit run rate of $22.9 billion in the fourth quarter. As we think about the dynamics in higher-for-longer, on one hand, your fixed rate assets will continue to reprice. On the other, you even asked a lot about the deposit dynamics that could continue to creep higher. How do we think about those puts and takes as we think about that relative to that exit rate of $22.9 billion in the fourth quarter?",['new guide net interest income year would imply exit run rate $229 billion fourth quarter think dynamics higher-for-longer one hand fixed rate assets continue reprice other even asked lot deposit dynamics could continue creep higher think puts takes think relative exit rate $229 billion fourth quarter'],Erika Najarian,"Analyst, UBS Securities LLC","So call it $90 billion run rate on an exit rate basis, and we're saying that we think something a bit more normal is closer to $80 billion, so that's one building block. Underneath that, I think one thing that's interesting actually, is that as the percentage of the deposits which are CDs increases, the sort of balance between internal migration and betas and rate and volume, it's a little bit less binary and a little bit smoother, so when we look at this type of stuff and we model migration, balances, product level reprice, as you get out of that lower zero bound with 0% CD mix world, things get a little bit smoother, I would say, overall. So it'll be interesting to watch that, but it's obviously one of the most important things for us as a company right now and we do everything we can to manage it, but it's also worth remembering that the big picture point is just the client franchise and as we've often said, we're very focused on primary bank relationships and we didn't lose any of those in the last cycle, and we're not planning to lose any in this cycle, and that's what sort of a long-term focus means for us. And I would just add quantitative tightening in there. That will be a large number, and we don't exactly know the effect, where wholesale, consumer as â€“ remember also the Fed has the RRP program which is also sucking money into the Fed directly and reducing deposits. That's still a trillion too.",['call $90 billion run rate exit rate basis were saying think something bit normal closer $80 billion thats one building block underneath that think one thing thats interesting actually percentage deposits cds increases sort balance internal migration betas rate volume little bit less binary little bit smoother look type stuff model migration balances product level reprice get lower zero bound 0% cd mix world things get little bit smoother would say overall itll interesting watch that obviously one important things us company right everything manage it also worth remembering big picture point client franchise weve often said were focused primary bank relationships lose last cycle were planning lose cycle thats sort long-term focus means us would add quantitative tightening there large number exactly know effect wholesale consumer â€“ remember also fed rrp program also sucking money fed directly reducing deposits thats still trillion too'],"Jeremy Barnum, Jamie Dimon","Chief Financial Officer, JPMorgan Chase & Co.; Chairman & Chief Executive Officer, JPMorgan Chase & Co."
34,3Q23,"The question I have is, does it surprise you that markets are hanging in, that you, yourself, have green shoots or still green shoots type of mind set about banking while that's going on? And then maybe more importantly, if you believe what obviously what you wrote, what are you doing about it? How do you manage yourself conservatively? How do you prepare for tougher times?",['question is surprise markets hanging in you yourself green shoots still green shoots type mind set banking thats going on maybe importantly believe obviously wrote it manage conservatively prepare tougher times'],Glenn Schorr,"Analyst, Evercore ISI","You want to start? Okay. So, I mean, on green shoots, you'll just note that our comments are cautious. I mean, there is momentum. I do think we are a little bit more optimistic than we were, but obviously, markets have been bumpy, both equity markets and rate markets have been very whippy recently. So we don't want to get too carried away with optimism here. We are coming in off a very low base and so there's a hope and an expectation that we are on the path to normalization and improvement. And of course, the overall economic picture at least currently looks solid, this sort of immaculate disinflation trade is actually happening. So those are all reasons to be a little bit optimistic in the near-term, but it's tempered with quite a bit of caution.",['want start okay so mean green shoots note comments cautious mean momentum think little bit optimistic were obviously markets bumpy equity markets rate markets whippy recently want get carried away optimism here coming low base theres hope expectation path normalization improvement course overall economic picture least currently looks solid sort immaculate disinflation trade actually happening reasons little bit optimistic near-term tempered quite bit caution'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co."
35,3Q23,"Hi. I understand the NII strategy benefited from First Republic, asset sensitivity, CD strategy, money in motion, and I'm curious to how much is the NII increase and the deposit benefits a function of the 67 million digital banking customers? Do you have more digital banking customers than branch customers now? If you can just refresh that.",['hi understand nii strategy benefited first republic asset sensitivity cd strategy money motion im curious much nii increase deposit benefits function 67 million digital banking customers digital banking customers branch customers now refresh that'],Mike Mayo,"Analyst, Wells Fargo Securities LLC","Yes. Let me do digital banking, Mike. I spent some time on this actually a couple weeks ago. And it's interesting to note this sort of extent to which the growth in digitally engaged consumers is higher than the overall growth in consumer accounts, meaning that we're continuing to increase the percentage of our consumers that are digitally engaged. And it sort of goes back to my prior point...",['yes let digital banking mike spent time actually couple weeks ago interesting note sort extent growth digitally engaged consumers higher overall growth consumer accounts meaning were continuing increase percentage consumers digitally engaged sort goes back prior point'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co."
36,3Q23,"Hey. Good morning. Jeremy, do you think there's any receptivity among regulators regarding the double counting not only of operational risk but I think you alluded to this earlier in the Markets business, but there's clearly double counting in market risk in the trading book. Is there any receptivity?",['hey good morning jeremy think theres receptivity among regulators regarding double counting operational risk think alluded earlier markets business theres clearly double counting market risk trading book receptivity'],Jim Mitchell,"Analyst, Seaport Global Securities LLC","Can I just answer that real quickly? We don't really know. It's a one-sided conversation generally. They say put it in your comments, so everyone is going to put in extensive comments, kind of like you heard from Jeremy and we don't really know. We don't really know what's going on inside the Fed, how many people get involved. In my view, it's become a very politicized process as opposed to the technical analysis I think is required to do it exactly right. So we'll see.",['answer real quickly really know one-sided conversation generally say put comments everyone going put extensive comments kind like heard jeremy really know really know whats going inside fed many people get involved view become politicized process opposed technical analysis think required exactly right well see'],Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase & Co."
37,3Q23,"Hi, good morning. You talked about increased investment spend in some areas in response to an earlier question. But just how do you think about cost control overall, looking at the medium term? The outlook for revenue is obviously pressured at least on net interest income. Fees might help, but the backdrop is for potentially declining revenue or at least flattish revenue for a couple or few years. So, I know you always say you want to invest for the cycle, and it's really paid off over time, but how are you thinking about cost control the next few years?",['hi good morning talked increased investment spend areas response earlier question think cost control overall looking medium term outlook revenue obviously pressured least net interest income fees might help backdrop potentially declining revenue least flattish revenue couple years so know always say want invest cycle really paid time thinking cost control next years'],Matt O'Connor,"Analyst, Deutsche Bank Securities, Inc.","Yeah. I mean, I wish I had sort of an answer that fit better into your framework. But in some fundamental sense, we just kind of don't agree with the framework in the sense that and we've been through this over the last couple of years, right? In a world where rates drop very suddenly and recover quite dramatically, and credit becomes abnormally good and then rebounds, and you've seen these very significant fluctuations in capital markets. We saw that in 2021 going into 2022 where the revenue environment can change a lot in the short term for reasons that can be largely out of your control. And while of course there are parts of our expense base, which are in the short term directly sensitive to the revenue environment and some of those adjust naturally and some of them we adjust more forcefully as a function of volumes, but other things are much more structural. And the goal is to make sure that those other things are sized appropriately to what we believe sustainable through the cycle returns are. So we're always very focused on cost. You can be rest assured of that. That discipline internally is as aggressive as ever as we go through the budget cycle. But there are long-term plays and you really shouldnâ€™t expect us to see trying to generate cosmetically lower costs in response to a lower revenue environment where we didnâ€™t balloon the costs when the revenue became as weâ€™ve argued unsustainably high.",['yeah mean wish sort answer fit better framework fundamental sense kind agree framework sense weve last couple years right world rates drop suddenly recover quite dramatically credit becomes abnormally good rebounds seen significant fluctuations capital markets saw 2021 going 2022 revenue environment change lot short term reasons largely control course parts expense base short term directly sensitive revenue environment adjust naturally adjust forcefully function volumes things much structural goal make sure things sized appropriately believe sustainable cycle returns are were always focused cost rest assured that discipline internally aggressive ever go budget cycle long-term plays really shouldnâ€™t expect us see trying generate cosmetically lower costs response lower revenue environment didnâ€™t balloon costs revenue became weâ€™ve argued unsustainably high'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co."
38,3Q23,There are no further questions.,['questions'],Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase & Co.",Thank you very much.,['thank much'],Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase & Co."
39,4Q23,Good morning. Thanks for all the comments on the net interest income. Any updates on that medium term outlook that you've put out there?,['good morning thanks comments net interest income updates medium term outlook put there'],Matt O'Connor,"Analyst, Deutsche Bank Securities, Inc.","Yeah. Matt, not particularly updating. I think you're referring to that $80 billion number that we'd put out there, and I wouldn't exactly describe that as an outlook. I think it's more just a number that we put out there to try to quantify a little bit the extent of the overearning. So, not particularly necessary to revise the number. But I just would point out, again, as we highlight on the page, and as I highlighted in the prepared remarks, that when you look at that $94 billion exit rate and full year guidance of $88 billion, that implies obviously exiting below $88 billion and some significant sequential decline. So, in that sense, you can see us kind of marching on the path to that $80 billion. Whether we ever get to the $80 billion or not and when is maybe a topic for later in the year or next year.",['yeah matt particularly updating think referring $80 billion number wed put there exactly describe outlook think number put try quantify little bit extent overearning so particularly necessary revise number would point out again highlight page highlighted prepared remarks look $94 billion exit rate full year guidance $88 billion implies obviously exiting $88 billion significant sequential decline so sense see us kind marching path $80 billion whether ever get $80 billion maybe topic later year next year'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co."
40,4Q23,"Jeremy, could you give a little more color on what's baked into the loan loss reserve in terms of kind of weighted average assumptions and how any change in macro outlook played into the dynamics of the reserve builds and releases this quarter?",['jeremy could give little color whats baked loan loss reserve terms kind weighted average assumptions change macro outlook played dynamics reserve builds releases quarter'],John McDonald,"Analyst, Autonomous Research","Yeah. Actually, John, this quarter, that's all like pretty quiet. So, the weighted average unemployment rate number is still 5.5%. We didn't have any really big revisions in the macro outlook driving the numbers, and our skew remains as it has been 
 a little bit skewed to the downside. Just recognizing that we still see risks being elevated, which obviously you can see that skew in the difference between the weighted average unemployment of 5.5%, and what's in our central outlook, which I think is something like 4.6% (sic) [4.4%] peak of the current levels.",['yeah actually john quarter thats like pretty quiet so weighted average unemployment rate number still 55% really big revisions macro outlook driving numbers skew remains little bit skewed downside recognizing still see risks elevated obviously see skew difference weighted average unemployment 55% whats central outlook think something like 46% (sic) [44%] peak current levels'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co."
41,4Q23,"Hey. Good morning. Maybe just to follow up in a different way on the NII question, just in deposits, can you, Jeremy, discuss your assumptions on the reprice and migration thoughts? And then, layering in if we do get six cuts, does that start to change the dynamic around growth in deposits? How are you thinking about all that?",['hey good morning maybe follow different way nii question deposits you jeremy discuss assumptions reprice migration thoughts then layering get six cuts start change dynamic around growth deposits thinking that'],Jim Mitchell,"Analyst, Seaport Global Securities LLC","Yeah. Both good questions. So let's do reprice first. So, I think all else equal, this more dovish Fed environment and these six cuts has the effect of taking a little bit of pressure off the reprice, especially product-level reprice. At the same time, we do continue to expect internal migration, particularly out of checking and savings into CDs, and in Wholesale, a little bit of ongoing migration out of non-interest-bearing into interest-bearing. And that trajectory, I would expect to continue even in a lower rate environment. So, as a result, if you look at weighted average rate paid, for example, for the consumer deposit franchise, we would actually expect that number to be a little bit higher, just even in a world with six cuts. And that's actually intuitive when you think about it, as people continue migrating into CDs, but maybe a little non-intuitive if you're kind of trying to do beta type math with like change in rates and change in rate paid. It gets a little bit non-intuitive. And then, in terms of balances, yeah, you'll note that I said that our outlook is for balances to be very modestly down, which when you consider the QT, despite the various speculations about having it slow down later in the year, continues and that loan growth in the system as a whole is expected to be quite muted. It's a pretty modest decline outlook consistent with the lower rates. So, I kind of agree with you that this environment is at the margin, a little bit more supportive for system-wide deposit balances. And then, obviously, we continue to be optimistic about our ability to take share in deposits based on our customer value proposition across all of our different businesses.",['yeah good questions lets reprice first so think else equal dovish fed environment six cuts effect taking little bit pressure reprice especially product-level reprice time continue expect internal migration particularly checking savings cds wholesale little bit ongoing migration non-interest-bearing interest-bearing trajectory would expect continue even lower rate environment so result look weighted average rate paid example consumer deposit franchise would actually expect number little bit higher even world six cuts thats actually intuitive think it people continue migrating cds maybe little non-intuitive kind trying beta type math like change rates change rate paid gets little bit non-intuitive then terms balances yeah note said outlook balances modestly down consider qt despite various speculations slow later year continues loan growth system whole expected quite muted pretty modest decline outlook consistent lower rates so kind agree environment margin little bit supportive system-wide deposit balances then obviously continue optimistic ability take share deposits based customer value proposition across different businesses'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co."
42,4Q23,"Do you believe that the outlook for a soft landing has increased? Is the market pricing in correctly? Or when you look at your customer base, are you still worried about the lagged effects of the rate hikes?",['believe outlook soft landing increased market pricing correctly look customer base still worried lagged effects rate hikes'],Ebrahim H. Poonawala,"Analyst, Bank of America Merrill Lynch","I think a lot of those things aren't actually mutually exclusive. So, statement one, I think it's uncontroversial that the economic outlook has evolved to include a significantly higher probability of a soft landing. That's, I think, the consensus at this point. So, whether you believe it or not is a separate issue, but I think that is the consensus. In terms of consumer resilience, I made some comments about this on the press call. The way we see it, the consumer is fine. All of the relevant metrics are now effectively normalized. And the question really, in light of the fact that cash buffers are now also normal, but that that means that consumers have been spending more than they're taking in, is how that spending behavior adjusts as we go into the new year in a world where their cash buffers are less comfortable than they were. So, one can speculate about different trajectories that that could take. But I do think it's important to take a step back and remind ourselves that consistent with that soft landing view, just in the central case modeling â€“ obviously, we always worry about the tail scenarios â€“ is a very strong labor market. And a very strong labor market means, all else equal, strong consumer credit. So, that's how we see the world.",['think lot things actually mutually exclusive so statement one think uncontroversial economic outlook evolved include significantly higher probability soft landing thats think consensus point so whether believe separate issue think consensus terms consumer resilience made comments press call way see it consumer fine relevant metrics effectively normalized question really light fact cash buffers also normal means consumers spending theyre taking in spending behavior adjusts go new year world cash buffers less comfortable were so one speculate different trajectories could take think important take step back remind consistent soft landing view central case modeling â€“ obviously always worry tail scenarios â€“ strong labor market strong labor market means else equal strong consumer credit so thats see world'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co."
43,4Q23,"My first question is a follow-up on Matt's with regarding the buyback. You printed 15% CET1 in the quarter. On a net basis, net of RWA growth, your net income produces 51 basis points every quarter. Again, that's net of RWA growth. I'm wondering what guideposts you're looking for, Jeremy, in terms of that buyback increasing from that $2 billion a quarter. Do we need to wait for Basel III finalization, which seems like it could be quite delayed? Or will having clarity in the June D-FAST results 
 you mentioned the SCB 
 sort of be enough that you could reconsider this pace over the medium term?",['first question follow-up matts regarding buyback printed 15% cet1 quarter net basis net rwa growth net income produces 51 basis points every quarter again thats net rwa growth im wondering guideposts looking for jeremy terms buyback increasing $2 billion quarter need wait basel iii finalization seems like could quite delayed clarity june d-fast results mentioned scb sort enough could reconsider pace medium term'],Erika Najarian,"Analyst, UBS Securities LLC","Yeah. Erika, that's a good question. And I understand what you're asking 
 why you're asking it. I think the answer is going to be a little bit unsatisfying, which is that this is classic decision-making under uncertainty and it's kind of a probabilistic cloud of a variety of different factors. But, all the ingredients that you've listed are the right ingredients; right, very strong organic capital generation, uncertainty about the finalization of the rule, uncertainty about the SCB requirements, and obviously, our normal capital hierarchy, which is that buybacks are always at the bottom of the hierarchy after we're done using the capital for our other priorities. So, I think what I said previously stands, which is that we're sticking with the modest pace for now. But obviously, we have a lot of flexibility to adjust that whenever we want under the current regime, and we may well do that.",['yeah erika thats good question understand asking asking it think answer going little bit unsatisfying classic decision-making uncertainty kind probabilistic cloud variety different factors but ingredients listed right ingredients; right strong organic capital generation uncertainty finalization rule uncertainty scb requirements obviously normal capital hierarchy buybacks always bottom hierarchy were done using capital priorities so think said previously stands were sticking modest pace now obviously lot flexibility adjust whenever want current regime may well that'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co."
