Analyst,Analyst Role,Question,Executive,Executive Role Type,Response,filename,Quarter,call_date
Gerard Cassidy,"Analyst, RBC Capital Markets LLC",Leverage loan-type items or just regular Corporate credits?,Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase",Regular Corporate credits. I'd rather not get into too much detail... 10,1q23-earnings-transcript.pdf,1Q23,2023-04-14
Gerard Cassidy,"Analyst, RBC Capital Markets LLC","Okay, very good.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase",…Gerard. Sorry. Thanks.,1q23-earnings-transcript.pdf,1Q23,2023-04-14
Ebrahim H. Poonawala,"Analyst, Bank of America Merrill Lynch","And just as a follow up, I think the other risk from higher for longer rates, I think, is this – the ability of the economy, the financial markets to sustain a 5% less Fed fund for a long period of time? Like, what are the other areas you're watching if duration mismatch and bank balance 11",Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase","Yeah, so I'd like to answer that. So there is a risk of higher rates for longer. And don't just think of just the Fed Funds rate, because I think you should – for our planning – I'd be thinking more about it could be 6%. And then think about the five- and ten-year rate which could be 5%, and I think if those things happen – I'm not saying they're going to happen – I just think people should prepare for them, they saw what just happened when rates went up beyond people's expectations. You had the gilt problem in London, you had some of the banks here. People need to be prepared for the potential of higher rates for longer. If and when that happens, it will undress problems in the economy for those who are too exposed to floating rates, for those who are too exposed to re-fi risk. Those exposures will be in multiple parts of the economy. I say to all of our clients – now would be the time to fix it. Do not put yourself in a position where that risk is excessive for your company, your business, your investment pools, et cetera. That's answer number one. Number two is, it will not come back to JPMorgan. Okay? While we do provide credit to what you call shadow banks, it is very – we think – it's very, very secure. That does not mean it won't come back to other credit providers.",1q23-earnings-transcript.pdf,1Q23,2023-04-14
Mike Mayo,"Analyst, Wells Fargo Securities LLC","All right. And then one for you, Jamie. I guess taking the 10,000 foot level, I guess, when you look at asset liability management, or ALM – you could call this nightmare on ALM street, and you've seen some big problems at banks, and I guess how would you evaluate yourself, I guess, with this $7 billion higher NII guide? It probably is good, but to what degree are you willing to sacrifice JPM shareholder money to help rescue problem banks that did not get their asset liability management correctly? 12",Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase","Well, it's two really different questions. So we've been quite cautious on interest rates for quite a while, and how we invest our portfolio, what our expectations are, our stress testing. The stress test – the CCAR stress test, as you know, had rates going down. I always looked at rates going up and being prepared – whether or not anything is going to happen. So we've been quite conservative ourselves and we don't mind continuing to do that because I remind people that having excess capital, you haven't lost it. It's kind of earnings in store – you get to deploy it later and maybe at a more opportune time, when the time comes. And look, we like to help the system when it needs help, if we can reasonably. And we're not the only ones, you saw a lot of banks do that, and I was proud of them. I think all of us did the right thing. Whether ultimately it works out or not, well, you could second-guess that when it happens. But the fact is, I think people want to help the system. And this whole banking thing was bad for banks. And I knew that the second I saw the headline, and then you had Credit Suisse. We want healthy community banks. We want healthy regional banks. We want to help them get through this. We have, you'll remember, Mike, as you point out, we have the best financial system the world's ever seen. That does not mean it won't have problems, doesn't mean there shouldn't be changes made, but I think it's reasonable for people to help each other in times of need. And we all did that – all of us – did that during COVID. All of us did that – if you could, those who could – did it during the Great Financial Crisis, and I would expect people to do that going forward.",1q23-earnings-transcript.pdf,1Q23,2023-04-14
Mike Mayo,"Analyst, Wells Fargo Securities LLC","Hey Jamie, your CEO letter said the banking crisis isn't over. So, what do you mean by that? Or was that dated two weeks later? Are you talking contagion or what?",Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase","Yeah. So it's just – the number of banks offsides you can count on your hands, in terms of too much interest rate exposure, too much ATM, too much uninsured deposits. And so there may be additional bank failures, something like that, which we don't know. But you're going to see next week regional banks have pretty good numbers. A lot of people are going to have – can take – actions to remediate some of the issues they may have going forward. You've already seen things calm down quite a bit, particularly in deposit flows. Warren Buffett was on TV talking about that he would bet $1 million – I don't know if you saw that – that no depositor will lose money in America. That he's willing to bet his own money. And of course, you know he's a very bright man. So, this crisis is not 2008. It will pass. And the one thing I pointed out is, when I answered the question just before about interest rates – people need to be prepared. They shouldn't pray that they don't go up. They should prepare for them going up. And if it doesn't happen, serendipity.",1q23-earnings-transcript.pdf,1Q23,2023-04-14
Betsy L. Graseck,"Analyst, Morgan Stanley & Co. LLC",Hi. Good morning. 13,Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Hey, Betsy.",1q23-earnings-transcript.pdf,1Q23,2023-04-14
Betsy L. Graseck,"Analyst, Morgan Stanley & Co. LLC",I do want to unpack the question here on the possibility of higher for longer rates and how that impacts you in your non-Markets NII...,Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Betsy, did we just lose you? I feel like you just dropped.",1q23-earnings-transcript.pdf,1Q23,2023-04-14
Betsy L. Graseck,"Analyst, Morgan Stanley & Co. LLC","No, hear me? Hello?",Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase",Go ahead.,1q23-earnings-transcript.pdf,1Q23,2023-04-14
Betsy L. Graseck,"Analyst, Morgan Stanley & Co. LLC","Okay. So I just wanted to unpack the higher for longer rate possibility as to how it impacts your NII because your NII guide is assuming the forward curve, if I understand correctly. So, in the event that you get that higher for longer, just how much does that impact NII ex. Markets because I'm trying to triangulate here about – maybe you lose some deposits, but if we have higher for longer, shouldn't we expect the trajectory goes up from this quarter as opposed to down? Is that – that's the question.",Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase","Go ahead, Jeremy. And then I'll go.",1q23-earnings-transcript.pdf,1Q23,2023-04-14
Betsy L. Graseck,"Analyst, Morgan Stanley & Co. LLC","Yeah. Got it. Okay, that's super helpful to understand how you think through that. And then the follow-up is just on the buybacks. So do I take your comments to mean that you're on pause now? And if that's the case, what would be the driver of restarting?",Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase","Yeah. No. We're not on pause now. We're doing a little bit now. We obviously have a lot of excess capital. We also like to buy our stock when it's cheap, not just when it's available. And we're also peering ahead, looking at those little bit of storm clouds so we're going to be kind of cautious. So we're going to make this decision every day. We also don't like to tell the market what we're doing, just so you know.",1q23-earnings-transcript.pdf,1Q23,2023-04-14
Betsy L. Graseck,"Analyst, Morgan Stanley & Co. LLC",Yeah. And then can you give us any sense of what Basel IV endgame means to you in your RWAs? How much should we be baking in for those?,Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah, Betsy, we really don't have any new information there, right? I mean, I think clearly if you go back like a year, we were maybe a little bit more optimistic that it might be across all the different levers and all the different pieces of it, closer to capital neutral. I think now it feels like it's likely to be worse than that. Hopefully, it's not too much worse than that. And I would just remind you that there are a lot of different levers, so when the NPR comes, that's only going to be a part of it, there's going to be other pieces – the holistic review. And it's going to take a lot of time to phase in and we're going to have time to adjust. So we'll know when we know.",1q23-earnings-transcript.pdf,1Q23,2023-04-14
Betsy L. Graseck,"Analyst, Morgan Stanley & Co. LLC",Got it.,Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase","And there were supposed – I just remembered, there were supposed to be pauses in there about how they looked at banks relative to the global economy, which are getting smaller. The G-SIFI was supposed to be adjusted for that. So, it may very – we're expecting it go up, but there are a lot of reasons why it shouldn't go up. And JPMorgan – there's so much capital. I mean, so you can't look at JPMorgan and say, well, it's a capital issue. And even the banks, by the way, when you look at it – even though some of the banks that are in trouble, they have plenty of capital. Their issue wasn't capital, it was other things. And so I'm just hoping regulators are very thoughtful. And the other thing is they should a priori decide what they want out of the banking system at this point because I've made it clear – I can look at the banking system and say that no bank should keep a loan, if possible. That's how much capital is now being required for loans. 15",1q23-earnings-transcript.pdf,1Q23,2023-04-14
Betsy L. Graseck,"Analyst, Morgan Stanley & Co. LLC",This is based on the current rule set.,Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase","Yeah, because the market is pricing holds. The market would take loans at much lower capital ratio than banks are being forced to hold for them. I'm talking about just loans only. So that's why you're seeing a lot of capital go to – I mean a lot of credit go to non-banks, and dramatically, by the way. Rapidly and dramatically. And so if you're a regulator, you should be looking at it and saying, do I want that? Is that a good thing for the system? If you believe it's a good thing for the system, raise the capital and more credit will go out of the system. That's fine. If that's what they want, that's fine. But they should do it with a forethought, not accidentally.",1q23-earnings-transcript.pdf,1Q23,2023-04-14
Jim Mitchell,"Analyst, Seaport Global Securities LLC","Thanks. Good morning. Hey, Jeremy, you talked about NII guidance up. Clearly, Fed Funds futures are up so it makes some sense. But maybe I guess first, could you kind of discuss – I guess comment on deposit behavior broadly around betas and mix and what you're seeing there so far? It seems to be coming in a little better than expected. And then secondly, and probably more importantly, can you help us think about the implications of higher-for-longer rates on the outlook for NII next year and beyond? I guess the intermediate term outlook that you guys had talked about?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah, sure. Thanks, Jim. So, yeah, so when we talk about the drivers of the upward revision, as I said, it's higher rates coupled with lower deposit reprice; hard to untangle the two drivers. And specifically, I think when you look at Consumer, the combination of the passage of time and the positive feedback we're getting from the field and the CD offerings in particular has meant that it's quite a kind of stable environment from that perspective. And similarly, in Wholesale we're just seeing slower internal migrations. You asked about mix. I think that obviously, we're seeing the CD mix increase and we would expect that to continue to take place probably even past the peak of the rate cycle into next year as we continue to capture money in motion. But as you say, the most important point is the fact that, as I said earlier, we don't consider this level of NII generation to be sustainable. And we talked previously about a sort of medium-term run rate in the mid-70s. That was before First Republic, and you could argue that maybe that number should be a little higher. But whatever it is, it's a lot lower than the current number. We don't know when that's going to happen. We're not going to predict the exact moment; that's going to be a function of competitive dynamics in the marketplace. But we want to be clear that we do expect it at some point.",2q23-earnings-transcript.pdf,2Q23,2023-07-14
Jim Mitchell,"Analyst, Seaport Global Securities LLC","Okay. But I guess just one follow-up on that. Just if we don't get rate cuts till middle of next year or later, does that sort of give some confidence to the outlook for next year or are you still worried about significant reprice?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","I wouldn't necessarily assume that the evolution from the current run rate into that mid-70s number is that sensitive to the rate outlook in particular. When we put that number out there, we looked at a range of different types of rate environments and the reprice that we think would be associated with that. It was really meant to capture more of what we consider to be a through-the-cycle sustainable number, so I wouldn't think of it as being particularly rate-dependent.",2q23-earnings-transcript.pdf,2Q23,2023-07-14
Erika Najarian,"Analyst, UBS Securities LLC","And so my follow-up question there. Maybe, Jeremy, could you remind us what unemployment rate is embedded in your ACL ratio as of the second quarter?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase",Yeah. It's still 5.8%.,2q23-earnings-transcript.pdf,2Q23,2023-07-14
John McDonald,"Analyst, Autonomous Research","Okay. That's helpful. And with a number of years for this to phase in and you generating capital at a high level even if the ROTCE comes down a bit, how should we think about your pace of building capital for these new changes versus doing your everyday course of investing and buybacks and things like that over the next couple years?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. I mean, I guess I'm sort of tempted to give you our standard capital hierarchy here. I mean, we're not going to sacrifice investments, right? That won't come as a surprise to you. Generally speaking, we're always going to try to comply with new requirements early. So when we know the requirements and when we have visibility, obviously given how much organic capital we're generating right now, whatever the answer winds up being it'll be pretty easy to comply, narrowly speaking. But that's not the same as saying that there won't be consequences to returns or to pricing. And if for whatever reason things aren't exactly as we're anticipating, I don't see us sacrificing investments that we see as strategically critical in order to comply with higher capital requirements ahead of the formal timing or whatever.",2q23-earnings-transcript.pdf,2Q23,2023-07-14
John McDonald,"Analyst, Autonomous Research",Okay. And there's some room for buybacks?,Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","It's unlikely, obviously. That would be an unlikely outcome.",2q23-earnings-transcript.pdf,2Q23,2023-07-14
John McDonald,"Analyst, Autonomous Research",Okay. Thank you. 7,Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Sorry, John. Go ahead. Did you have a follow-up?",2q23-earnings-transcript.pdf,2Q23,2023-07-14
John McDonald,"Analyst, Autonomous Research","Yeah. No, just do buybacks play a role in the next couple years strategically? Do you episodically buy back?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","I mean, capital hierarchy again, right? In the end, when we have nothing else to do with the money, we'll do buybacks. And we talked about the $12 billion for this year. Obviously a lot of new moving parts there. Although all else equal, given what we've done so far, that's still probably a reasonable number for the full year. But, yeah, that's always going to be at the end of the list. But, yeah.",2q23-earnings-transcript.pdf,2Q23,2023-07-14
Ken Usdin,"Analyst, Jefferies LLC","That makes sense. And as a follow-up to that, on the Consumer side you mentioned that consumers continue to spend albeit a little more slowly, and you mentioned that consumers are also using their excess deposits a little bit more as well. Can you just elaborate a little bit more on just your feeling about the state of the consumer? And is that Card growth continue to be driven by people needing to revolve as opposed to wanting to have more in their deposits? Just kind of want the trade-off on that side too? 8",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. I mean, to us I think we still see this as a normalization, not deterioration story when we talk about consumer credit. Actually, revolve per account has still not gotten to pre-pandemic levels actually, so I would definitely say that it's a wanting rather than needing at least for our portfolio at this point. And, yeah, I think the consumer continues to surprise on the upside here.",2q23-earnings-transcript.pdf,2Q23,2023-07-14
Gerard Cassidy,"Analyst, RBC Capital Markets LLC","Very good. And then as a follow-up, you mentioned in giving us the read-through on the Commercial Banking segment of the business that you had some reserve building tied to some office real estate and also some downgrades in the Middle Market area. Can you go a little deeper? What are you guys seeing in this area, both Commercial Real Estate but also the C&I loans? What's happening in that segment as well?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. So I would caution you from drawing too broad a conclusion from this. I mean, I think that when we talk about office for example, our portfolio as you know is quite small and our exposure to sort of so-called urban dense office is even smaller. The vast majority of our overall portfolio is multi-family lending so as a result, like our sample size of observed valuations on office properties is quite small. But you know we like to be sort of ahead of the cycle, and based on everything that we saw this quarter it just felt reasonable to build a little bit there to get to what felt like a comfortable coverage ratio. In the Middle Market segment, we saw downgrades in excess of upgrades, but I don't see that as sort of necessarily indicative of anything terribly significant in the broader read-across.",2q23-earnings-transcript.pdf,2Q23,2023-07-14
Ebrahim H. Poonawala,"Analyst, Bank of America Merrill Lynch","Good morning. I guess just first question, following up on the outlook for the economy. Like, we've all been worried about the recession for a year and there's a debate about the lagged effects of the Fed rate hike cycle. When you think about – Jeremy, I think you mentioned your unemployment outlook relatively similar today versus a quarter ago – how worried should we be in terms of the credit cycle 6 to 12 months from now? Or are you leaning towards concluding that maybe U.S. businesses, consumers have absorbed the rate cycle a lot better than we expected a year ago?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. So, I mean, I'm sure Jamie has some views here. But in my view, I would just caution against jumping to too many super-positive conclusions based on a couple of recent prints. And I think generally, our point is less about trying to predict a particular outcome and more about trying to make sure that we don't get too much euphoria that over-concentrates people on one particular prediction when we know that there's a range of outcomes out there. So obviously, people are talking a lot about the potential for soft-landing right now, no landing, immaculate disinflation or whatever. And whether our own views on that have changed meaningfully, I don't know. But the broader point is that we continue to be quite focused on Jamie's prior comment that loss rates still have room to normalize even post-pandemic, so we're probably over-earning on credit a little bit. Obviously, we've talked about the expectation that the NII is going to come down quite a bit. So even forgetting about whether you get some surprisingly negative outcomes on the economy from where we stand today, even in a central case you just need to recognize that there should be some significant normalization.",2q23-earnings-transcript.pdf,2Q23,2023-07-14
Ebrahim H. Poonawala,"Analyst, Bank of America Merrill Lynch","Got it. And just a follow-up on the upcoming Basel reforms, two questions. You've talked about the impact to the U.S. economy, like others have said the same. At this point, is that falling on deaf ears? And secondly, maybe, Jeremy, if you can touch upon just structural changes that you expect to make in the Capital Markets business because of FRTB. Thank you.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. So on your first point, I mean, I think you can just read Vice Chair Barr's speech, right? 10",2q23-earnings-transcript.pdf,2Q23,2023-07-14
Ebrahim H. Poonawala,"Analyst, Bank of America Merrill Lynch",Yeah.,Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","He addressed that point fairly directly. He clearly doesn't agree as is his right, so we'll see what happens. We continue to feel that, all else equal, higher capital requirements definitely are going to increase the cost of credit, which is bad for the economy, so we'll see what happens on that. On FRTB, it's really very nuanced. It's probably too much detail for this call, to be honest. But just to give you like one immaterial and insignificant but useful example, one product under FRTB is yield curve spread options. And if the FRTB proposal goes through as currently written, that product just becomes not viable. So, obviously, if we need to stop doing that product, no one really cares. But it's just one example of the way sometimes, when you're really disciplined about allocating capital thoroughly all the way down to individual products and responding accordingly, you can wind up having to change your business mix. There are obviously more significant products that matter much more for the real economy like mortgage where the layering-on of the operational risk and the way it's being proposed, especially if some of the other beneficial elements of the proposal don't come through, you're once again making that product even harder to offer to homeowners. So we'll see, we'll see what happens.",2q23-earnings-transcript.pdf,2Q23,2023-07-14
Mike Mayo,"Analyst, Wells Fargo Securities LLC","Alright, and separate question. I appreciate the Investor Day – gives a little bit more color on the degree that your investments may or may not pan out; we are still all watching that closely. Having said that, you just increased revenue guidance by $10 billion for NII between this quarter and the first quarter without changing expense guidance by even $1. Aren't you tempted to spend a little bit more? Why not spend more if you're gaining share? And I'm not saying that you should; I'm just wondering like aren't you tempted to do so? You have $10 billion more revenues and you're not spending $1 more of expenses. Like, why not?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Mike, let me get this right. You're actually complaining that our expenses aren't high enough? Is that right?",2q23-earnings-transcript.pdf,2Q23,2023-07-14
Mike Mayo,"Analyst, Wells Fargo Securities LLC","Wait, wait. Just to be clear. It's just the flip side of the question I asked for two years, going back to it.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Fair enough. I appreciate the balance. In all seriousness, we've always been pretty clear, right, that our spending is through-the-cycle spending based on through-the-cycle investment, through-the-cycle spending based on our through-the-cycle view of the earnings-generating power of the company and the goal to produce the right returns. So broadly speaking, NII tends to flow straight through to the bottom line, both when it's going up and, by the way, when it's going down too, and we've been through those moments as you well remember. So whether or not there are opportunities to deploy some more dollars into marketing and stuff like that, we have actually looked at that recently. I don't see that being a meaningful item this year, which is part of why we have not revised the expense guidance so far. But this is about investing through the cycle and being honest and disciplined about which revenue items carry expense loading and which of them don't.",2q23-earnings-transcript.pdf,2Q23,2023-07-14
Mike Mayo,"Analyst, Wells Fargo Securities LLC",And then last quick follow-up...,Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase","Mike, I think we're kind of running as fast as we can. So if you actually sat down directly with credit compliance, auto market, bankers, recruiters, traders – Mike, this is it. We're full effort right now and we want to make sure we get things right and get things thoughtful and careful. So it's not just the money, it's the people and how many things you can change all at once and add to all at once. 12",2q23-earnings-transcript.pdf,2Q23,2023-07-14
Mike Mayo,"Analyst, Wells Fargo Securities LLC","And then one quick follow-up to that. Your efficiency ratio this quarter is the lowest we've seen in a long, long time and I guess you're saying don't extrapolate this efficiency ratio because NII will come down at some point. But when you just simply look at – you benchmark yourself against the low-cost providers, where do you think you're there now and where can you still go because if you extrapolate this quarter, you're getting closer?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. I mean, you said it yourself, right? You definitely can extrapolate the current numbers. But I think more broadly on benchmarking ourselves to low-cost providers, it sort of speaks to an area that you've been interested in for a long time which is all of the investment that we're doing in technology to improve generally scalability and get more of our cost base to be variable versus fixed in terms of how we respond to volumes – that's a big part of the reason that we're doing the investments that we're doing, and modernization and cloud and AI and all the type of stuff that we've talked about a lot. So I think we feel really good about our efficiency as a company, but there definitely is room for improvement.",2q23-earnings-transcript.pdf,2Q23,2023-07-14
Steven Chubak,"Analyst, Wolfe Research LLC","Helpful color, and just a follow-up on Card income. Revenues were muted in the quarter. I was hoping you could unpack just the sources of pressure. Maybe more specifically, how much of a drag is associated with FAS 91 versus some other factors. 13",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. So actually, that Card income number, Steve, is a little bit of a one-off thing. So we had a reward liability adjustment this quarter, kind of a technical thing, so that's just a temporary headwind. And also, the sequential comparison is also getting hurt by a small positive one-off item in the prior period. And obviously, I know you guys looked at it, but Card income isn't sort of a thing we look at that much ourselves.",2q23-earnings-transcript.pdf,2Q23,2023-07-14
Steven Chubak,"Analyst, Wolfe Research LLC",Can you size the reward liability impact?,Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase",Why don't you get Mikael to give that to you? It's not that significant but it's enough to just make the sequential number look a little bit wonky.,2q23-earnings-transcript.pdf,2Q23,2023-07-14
