filename,chunk_index,chunk_text,financial_quarter,call_date
jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,1,"Operator: Good morning, ladies and gentlemen. Welcome to JPMorganChase's Third Quarter 2024 Earnings Call. This call is being recorded. Your line will be muted for the duration of the call. We will now go live to the presentation. The presentation is available on JPMorganChase's
website. Please refer to the disclaimer in the back concerning forward-looking statements. Please stand by.",3Q24,2024-10-11
jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,2,"At this time I would like to turn the call over to JPMorganChase's Chairman and CEO, Jamie Dimon and Chief Financial Officer, Jeremy
Barnum. Mr. Barnum, please go ahead. Jeremy Barnum
Chief Financial Officer, JPMorgan Chase & Co. Thank you and good morning, everyone. the Firm reported net income of $12.9 billion, EPS of $4.37 on revenue of $43.3
billion with an ROTCE of 19%. Touching on a couple of highlights.",3Q24,2024-10-11
jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,3,"In CCB, we ranked number one in retail deposit share for the fourth straight
year, in CIB, both IB fees and Markets revenue were notably up year-on-year reflecting strength across the franchise. In AWM, we had record
quarterly revenues and record long-term flows. Now, turning to page 2 for the Firmwide results. The Firm reported revenue of $43.3 billion, up $2.6 billion or 6% year-on-year. NII ex.",3Q24,2024-10-11
jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,4,"Markets
was up $274 million or 1% driven by the impact of balance sheet mix and securities reinvestment, higher revolving balances in Card and
higher wholesale deposit balances, predominantly offset by lower deposit balances in Banking & Wealth Management and deposit margin
compression. NIR ex. Markets was up $1.8 billion or 17%, but excluding the prior year’s net investment securities losses, it was up 10% on higher asset
management and investment banking fees.",3Q24,2024-10-11
jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,5,"And Markets revenue was up $535 million or 8% year-on-year. Expenses of $22.6 billion were up $808 million or 4% year-on-year, driven by compensation, including revenue-related compensation and
growth in employees, partially offset by lower legal expense. And credit costs were $3.1 billion reflecting net charge-offs of $2.1 billion and a
net reserve build of $1 billion, which included a $182 million in Consumer, primarily in Card, and $144 million in Wholesale.",3Q24,2024-10-11
jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,6,"Net charge-offs
were up $590 million year-on-year, predominantly driven by Card. On to balance sheet and capital on page 3. We ended the quarter with a CET1 ratio of 15.3%, flat versus the prior quarter, as net income and
OCI gains were offset by capital distributions and higher RWA. This quarter's RWA reflects higher lending activity, as well as higher client
activity and market moves on the trading side.",3Q24,2024-10-11
jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,7,"We had $6.0 billion of net common share repurchases this quarter, which in part reflects the deployment of the proceeds from the sale of Visa
shares, as we have previously mentioned. Now, let's go to our businesses, starting with CCB on page 4. CCB reported net income of $4.0 billion on revenue of $17.8 billion, which was
down 3% year-on-year.",3Q24,2024-10-11
jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,8,"In Banking & Wealth Management, revenue was down 11% year-on-year, reflecting deposit margin compression and
lower deposits, partially offset by growth in Wealth Management revenue. Average deposits were down 8% year-on-year and 2% sequentially. We're seeing a slowdown in customer yield-seeking activity including in CD volumes and expect deposits to be relatively flat for the remainder
of the year.",3Q24,2024-10-11
jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,9,"Client investment assets were up 21% year-on-year driven by market performance, and we continue to see strong referrals of new wealth
management clients from our branch network. In Home Lending, revenue was up 3% year-on-year, driven by higher NII, partially offset by
lower servicing and production revenue. Turning to Card Services & Auto, revenue was up 11% year-on-year, driven by higher Card NII on higher revolving balances.",3Q24,2024-10-11
jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,10,"Card
outstandings were up 11% due to strong account acquisition and the continued normalization of revolve. And in Auto, originations were $10
billion, down 2%, while maintaining strong margins and high-quality credit. Expenses of $9.6 billion were up 5% year-on-year, predominantly
driven by higher field and technology compensation as well as growth in marketing.",3Q24,2024-10-11
jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,11,"In terms of credit performance this quarter, credit costs were $2.8 billion driven by Card, and reflected net charge-offs of $1.9 billion, up $520
million year-on-year, and a net reserve build of $876 million predominantly from higher revolving balances. Next, the Commercial & Investment Bank on page 5. The CIB reported net income of $5.7 billion on revenue of $17 billion. IB fees were up
31% year-on-year and we ranked number one with year-to-date wallet share of 9.1%.",3Q24,2024-10-11
jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,12,"In Advisory, fees were up 10% benefiting from the
closing of few large deals. Underwriting fees were up meaningfully with debt up 56% and equity up 26%, primarily driven by favorable market
conditions. In light of the positive momentum throughout the year, we're optimistic about our pipeline, but the M&A regulatory environment and
geopolitical situation are continued sources of uncertainty.",3Q24,2024-10-11
jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,13,"Payments revenue was $4.4 billion, up 4% year-on-year, driven by fee growth and
higher deposit balances, largely offset by margin compression. Moving to Markets. Total revenue was $7.2 billion, up 8% year-on-year. Fixed Income was flat reflecting outperformance in Currencies &
Emerging Markets and lower revenue in Rates. Equities was up 27% reflecting strong performance across regions, largely driven by a
supportive trading environment in the U.S. and increased late-quarter activity in Asia.",3Q24,2024-10-11
jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,14,"Securities Services revenue was $1.3 billion, up 9% year-on-year, largely driven by fee growth on higher market levels and volumes. Expenses of $8.8 billion were down 1% year-on-year, with lower legal expense predominantly offset by higher revenue-related compensation
and growth in employees, as well as higher technology spend. Average Banking & Payments loans were down 2% year-on-year and down 1% sequentially.",3Q24,2024-10-11
jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,15,"In the middle market and large corporate client
segments we continue to see softness in both new loan demand and revolver utilization in part due to clients’ access to receptive capital
markets. In multi-family, while we are seeing encouraging signs in loan originations as long-term rates fall, we expect overall growth to remain
muted in the near term as originations are offset by payoff activity.",3Q24,2024-10-11
jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,16,"Average client deposits were up 7% year-on-year and 3% sequentially, primarily driven by growth from large corporates in Payments and
Securities Services. Finally, credit costs were $316 million, driven by higher net lending activity, including in Markets, and downgrades,
partially offset by improved macroeconomic variables. Then to complete our lines of business, AWM on page 6. Asset & Wealth Management reported net income of $1.4 billion with pre-tax margin
of 33%.",3Q24,2024-10-11
jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,17,"For the quarter, revenue of $5.4 billion was up 9% year-on-year, driven by growth in management fees on higher average market
levels and strong net inflows, investment valuation gains compared to losses in the prior-year, and higher brokerage activity, partially offset by
deposit margin compression.",3Q24,2024-10-11
jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,18,"Expenses of $3.6 billion were up 16% year-on-year, predominantly driven by higher compensation, including revenue-related compensation
and continued growth in our private banking advisor teams as well as higher distribution fees and legal expense. For the quarter, long-term net
inflows were $72 billion, led by Fixed Income and Equities. And in liquidity, we saw net inflows of $34 billion.",3Q24,2024-10-11
jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,19,"AUM of $3.9 trillion and client
assets of $5.7 trillion were both up 23%, [year-on-year] driven by higher market levels and continued net inflows. And finally, loans were up
2% quarter-on-quarter, and deposits were up 4% quarter-on-quarter. Turning to Corporate on page 7. Corporate reported net income of $1.8 billion. Revenue was $3.1 billion, up $1.5 billion year-on-year.",3Q24,2024-10-11
jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,20,"NII was
$2.9 billion, up $932 million year-on-year, predominantly driven by the impact of balance sheet mix and securities reinvestment, including from
prior quarters. NIR was a net gain of $155 million compared with a net loss of $425 million in the prior year, predominantly driven by lower net investment
securities losses this quarter. Expenses of $589 million were down $107 million year-on-year. To finish up, let's turn to the outlook on page 8. We now expect 2024 NII ex.",3Q24,2024-10-11
jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,21,"Markets to be approximately $91.5 billion and total NII to be
approximately $92.5 billion. Our outlook for adjusted expense is now about $91.5 billion. And given where we are in the year, we included on
the page, the implied fourth quarter guidance for NII and adjusted expense, and note, that the NII numbers imply about $800 million of Markets
NII in the fourth quarter. On credit, we continue to expect the 2024 Card net charge-off rate to be approximately 3.4%.",3Q24,2024-10-11
jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,22,"So, to wrap up, we're pleased with another quarter of strong operating performance. As we look ahead to the next few quarters, we expect
results will be somewhat challenged as normalization continues, but we remain upbeat and focused on executing in order to continue
delivering excellent returns through the cycle. And with that, let's open the line for Q&A.",3Q24,2024-10-11
jpm-2q24-earnings-call-transcript-final.pdf,1,"Operator: Good morning, ladies and gentlemen. Welcome to JPMorgan Chase's Second Quarter 2024 Earnings Call. This call is being
recorded. Your line will be muted for the duration of the call. We will now go live to the presentation. The presentation is available on
JPMorgan Chase's website, and please refer to the disclaimer in the back concerning forward-looking statements. Please standby.",2Q24,2024-07-12
jpm-2q24-earnings-call-transcript-final.pdf,2,"At this time I would like to turn the call over to JPMorgan Chase's Chief Financial Officer, Jeremy Barnum. Mr. Barnum, please go ahead. Jeremy Barnum
Chief Financial Officer, JPMorgan Chase & Co. Thank you, and good morning, everyone. the Firm reported net income of $18.1 billion, EPS of $6.12 on revenue of $51
billion, with an ROTCE of 28%. These results included the $7.9 billion net gain related to Visa shares and the $1 billion Foundation
contribution of the appreciated Visa stock.",2Q24,2024-07-12
jpm-2q24-earnings-call-transcript-final.pdf,3,"Also included is $546 million of net investment securities losses in Corporate. Excluding these
items, the Firm had net income of $13.1 billion, EPS of $4.40, and an ROTCE of 20%. Touching on a couple of highlights. In the CIB, IB fees were up 50% year-on-year and 17% quarter-on-quarter, and Markets revenue was up
10% year-on-year.",2Q24,2024-07-12
jpm-2q24-earnings-call-transcript-final.pdf,4,"In CCB, we had a record number of first-time investors and strong customer acquisition across checking accounts and
Card, and we've continued to see strong net inflows across AWM. Now, before I give more detail on the results, I just want to mention that starting this quarter we are no longer explicitly calling out the First
Republic contribution in the presentation. Going forward, we'll only specifically call it out if it is a meaningful driver in the year-on-year
comparison.",2Q24,2024-07-12
jpm-2q24-earnings-call-transcript-final.pdf,5,"As a reminder, we acquired First Republic in May of last year, so the prior-year quarter only has two months of First Republic
results compared to the full three months this quarter. Also, in the prior-year quarter, most of the expenses were in Corporate, whereas now
they are primarily in the relevant line of business. Now, turning to page 2 for the Firmwide results. The Firm reported revenue of $51 billion, up $8.6 billion or 20% year-on-year.",2Q24,2024-07-12
jpm-2q24-earnings-call-transcript-final.pdf,6,"Excluding both
the Visa gain that I mentioned earlier, as well as last year's First Republic bargain purchase gain of $2.7 billion, revenue of $43.1 billion was
up $3.4 billion or 9%. NII ex. Markets was up $568 million or 3%, driven by the impact of balance sheet mix and higher rates, higher revolving
balances in Card, and the additional month of First Republic-related NII, partially offset by deposit margin compression and lower deposit
balances. NIR ex. Markets was up $7.3 billion or 56%.",2Q24,2024-07-12
jpm-2q24-earnings-call-transcript-final.pdf,7,"Excluding the items I just mentioned, it was up $2.1 billion or 21%, largely driven by higher
Investment Banking revenue and Asset Management fees. Both periods included net investment securities losses. And Markets revenue was
up $731 million or 10% year-on-year. Expenses of $23.7 billion were up $2.9 billion or 14% year-on-year.",2Q24,2024-07-12
jpm-2q24-earnings-call-transcript-final.pdf,8,"Excluding the Foundation
contribution I previously mentioned, expenses were up 9%, primarily driven by compensation, including revenue-related compensation and
growth in employees. And credit costs were $3.1 billion, reflecting net charge-offs of $2.2 billion and a net reserve build of $821 million. Net
charge-offs were up $820 million year-on-year, predominantly driven by Card. The net reserve build included $609 million in Consumer and
$189 million in Wholesale.",2Q24,2024-07-12
jpm-2q24-earnings-call-transcript-final.pdf,9,"On to balance sheet and capital on page 3. We ended the quarter with a CET1 ratio of 15.3%, up 30 basis points versus the prior quarter,
primarily driven by net income, largely offset by capital distributions and higher RWA. As you know, we completed CCAR a couple of weeks
ago and have already disclosed a number of the key points. Let me summarize them again here. Our preliminary SCB is 3.3%, although the
final SCB could be higher.",2Q24,2024-07-12
jpm-2q24-earnings-call-transcript-final.pdf,10,"The preliminary SCB, which is up from the current requirement of 2.9%, results in a 12.3% standardized CET1 ratio
requirement, which goes into effect in the fourth quarter of 2024. And finally, the Firm announced that the board intends to increase the
quarterly common stock dividend from $1.15 to $1.25 per share in the third quarter of 2024. Now, let's go to our businesses, starting with CCB on page 4.",2Q24,2024-07-12
jpm-2q24-earnings-call-transcript-final.pdf,11,"CCB reported net income of $4.2 billion on revenue of $17.7 billion, which was
up 3% year-on-year. In Banking & Wealth Management, revenue was down 5% year-on-year, reflecting lower deposits and deposit margin
compression, partially offset by growth in Wealth Management revenue. Average deposits were down 7% year-on-year and 1% quarter-on-
quarter. Client investment assets were up 14% year-on-year, predominantly driven by market performance.",2Q24,2024-07-12
jpm-2q24-earnings-call-transcript-final.pdf,12,"In Home Lending, revenue of $1.3
billion was up 31% year-on-year, predominantly driven by higher NII, including one additional month of the First Republic portfolio. Turning to Card Services & Auto, revenue was up 14% year-on-year, predominantly driven by higher Card NII on higher revolving balances. Card outstandings were up 12% due to strong account acquisition and the continued normalization of revolve.",2Q24,2024-07-12
jpm-2q24-earnings-call-transcript-final.pdf,13,"And in Auto, originations were
$10.8 billion, down 10% coming off strong originations from a year ago, while continuing to maintain healthy margins. Expenses of $9.4 billion
were up 13% year-on-year, predominantly driven by First Republic expenses now reflected in the lines of business, as I mentioned earlier, as
well as field compensation and continued growth in technology and marketing.",2Q24,2024-07-12
jpm-2q24-earnings-call-transcript-final.pdf,14,"In terms of credit performance this quarter, credit costs were $2.6 billion, reflecting net charge-offs of $2.1 billion, up $813 million year-on-year,
predominantly driven by Card, as newer vintages season and credit normalization continues. The net reserve build was $579 million, also
driven by Card due to loan growth and updates to certain macroeconomic variables. Next, the Commercial & Investment Bank on page 5.",2Q24,2024-07-12
jpm-2q24-earnings-call-transcript-final.pdf,15,"Our new Commercial & Investment Bank reported net income of $5.9 billion on revenue
of $17.9 billion. You'll note that we are disclosing revenue by business as well as breaking down the Banking & Payments revenue by client
coverage segment in order to best highlight the relevant trends in both important dimensions of the Wholesale franchise. This quarter, IB fees
were up 50% year-on-year, and we ranked number one with year-to-date wallet share of 9.5%.",2Q24,2024-07-12
jpm-2q24-earnings-call-transcript-final.pdf,16,"In Advisory, fees were up 45%, primarily driven
by the closing of a few large deals and a weak prior-year quarter. Underwriting fees were up meaningfully, with Equity up 56% and Debt up
51%, benefiting from favorable market conditions. In terms of the outlook, we're pleased with both the year-on-year and sequential improvement in the quarter. We remain cautiously optimistic
about the pipeline, although many of the same headwinds are still in effect.",2Q24,2024-07-12
jpm-2q24-earnings-call-transcript-final.pdf,17,"It's also worth noting that pull-forward refinancing activity was a
meaningful contributor to the strong performance in the first half of the year. Payments revenue was $4.5 billion, down 4% year-on-year, as deposit margin compression and higher deposit-related client credits were
largely offset by fee growth. Moving to Markets, total revenue was $7.8 billion, up 10% year-on-year. Fixed Income was up 5%, with continued
strength in Securitized Products.",2Q24,2024-07-12
jpm-2q24-earnings-call-transcript-final.pdf,18,"And Equity Markets was up 21%, with equity derivatives up on improved client activity, and we saw record
revenue in Prime and growth in client balances amid supportive equity market levels. Security Services revenue of $1.3 billion was up 3%
year-on-year, driven by higher volumes and market levels, largely offset by deposit margin compression.",2Q24,2024-07-12
jpm-2q24-earnings-call-transcript-final.pdf,19,"Expenses of $9.2 billion were up
12% year-on-year, largely driven by higher revenue-related compensation, legal expense, and volume-related non-compensation expense. In Banking & Payments, average loans were up 2% year-on-year due to the impact of the First Republic acquisition and flat sequentially.",2Q24,2024-07-12
jpm-2q24-earnings-call-transcript-final.pdf,20,"Demand for new loans remains muted as middle market and large corporate clients remain somewhat cautious due to the economic
environment, and revolver utilization continues to be below pre-pandemic levels. Also, capital markets are open and are providing an
alternative to traditional bank lending for these clients. In CRE, higher rates continue to suppress both loan origination and pay-off activity. Average client deposits were up 2% year-on-year and relatively flat sequentially.",2Q24,2024-07-12
jpm-2q24-earnings-call-transcript-final.pdf,21,"Finally, credit costs were $384 million. The net reserve build
of $220 million was primarily driven by incorporating the First Republic portfolio in the Firm's modeled approach. Net charge-offs were $164
million, of which about half was in Office. Then, to complete our lines of business, AWM on page 6. Asset & Wealth Management reported net income of $1.3 billion, with pre-tax
margin of 32%.",2Q24,2024-07-12
jpm-2q24-earnings-call-transcript-final.pdf,22,"Revenue of $5.3 billion was up 6% year-on-year, driven by growth in management fees on higher average market levels and
strong net inflows, as well as higher brokerage activity, largely offset by deposit margin compression. Expenses of $3.5 billion were up 12%
year-on-year, largely driven by higher compensation, primarily revenue-related compensation and continued growth in our private banking
advisor teams.",2Q24,2024-07-12
