speaker,marker,job_title,utterance,filename,financial_quarter,call_date
Erika Najarian,Q,"Analyst, UBS Securities LLC","['yes', 'good', 'morning', 'wanted', 'follow', 'questions', 'capital', 'maybe', 'ask', 'jeremy', 'crosscurrents', 'terms', 'denominator', 'look', 'third', 'quarter', 'regulatory', 'data', 'gsib', 'surcharge', 'score', 'would', 'imply', 'score', 'would', 'put', 'range', 'gsib', 'obviously', 'understand', 'print', 'somewhere', 'near', 'score', 'end', 'year', 'gsib', 'surcharge', 'goes', 'basis', 'points', 'two', 'years', 'one', 'day', 'now', 'time', 'around', 'holidays', 'get', 'press', 'release', 'federal', 'reserve', 'lawsuit', 'banks', 'terms', 'transparency', 'looks', 'like', 'transparency', 'going', 'focused', 'perhaps', 'improved', 'soon', 'year', 'stress', 'test', 'think', 'definition', 'excess', 'right', 'part', 'like', '', 'clearly', 'huge', 'number', 'think', 'returns', 'going', 'forward', 'definition', 'excess', 'also', 'continues', 'shift', 'think', 'crosscurrents', 'terms', 'two', 'big', 'components', 'clearly', 'one', 'gsib', 'surcharge', 'stress', 'capital', 'buffer']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jeremy Barnum,A,"Chief Financial Officer, JPMorganChase","['right', 'erika', 'okay', 'tempting', 'many', 'rabbit', 'holes', 'deep', 'let', 'try', 'address', 'much', 'great', 'length', 'first', 'all', 'gsib', 'yes', 'high', 'print', 'third', 'quarter', 'normal', 'seasonality', 'third', 'quarter', 'fourth', 'quarter', 'current', 'view', 'gsib', 'number', 'estimate', 're', 'quite', 'confident', 'wound', 'comfortably', 'bucket', 'result', 'normal', 'seasonality', 'actually', 'relatively', 'quiet', 'december', 'terms', 'types', 'yearend', 'things', 'sometimes', 'create', 'pressures', 'various', 'types', 'less', 'might', 'otherwise', 'expected', 'terms', 'typical', 'seasonal', 'patterns', 'much', 'see', 'there', 'obvious', 'point', 'also', 'even', 'existing', 'proposed', 'gsib', 'rule', 'obviously', 'little', 'bit', 'hung', 'smaller', 'buckets', 'recalibration', 'even', 'sort', 'obvious', 'would', 'mattered', 'one', 'way', 'other', 'but', 'anyway', 'now', 're', 'managing', 'current', 'rules', 'normal', 'seasonality', 'took', 'back', 'okay', 'mentioned', 'lawsuit', 'think', 'thing', 'say', 'happy', 'see', 'clear', 'recognition', 'part', 'fed', 'many', 'things', 've', 'talking', 'long', 'time', 'terms', 'transparency', 'volatility', 'nonsubstantive', 'bureaucratic', 'burden', 'associated', 'ccar', 'process', 'needs', 'improvement', 'that', 'great', 'think', 'speak', 'industry', 'bodies', 'actual', 'litigants', 'seems', 'read', 'said', 'publicly', 'press', 'releases', 'much', 'anything', 'preserving', 'rights', 'light', 'statute', 'limitations', 'deadlines', 'coming', 'let', 'hope', 'see', 'significant', 'progress', 'front', 'then', 'taking', 'step', 'back', 'high', 'level', 'really', 'asking', 'core', 'view', 'about', 'think', 'probably', 'best', 'way', 'think', 'lens', 'numerator', 'actually', 'core', 'view', 'just', 'sake', 'argument', 'assume', 'modest', 'growth', 'normalized', 'amount', 'economic', 'denominator', 'like', 'actual', 'need', 'capital', 'organically', 'likely', 'additional', 'numerator', 'needed', 'function', 'environment', 'way', 're', 'increasingly', 'thinking', 'different', 'scenario', 'analysis', 'like', 'flat', 'numerator', 'numerator', 'numerator', 'numerator', 'guess', 'could', 'versions', 'world', 'numerator', 'little', 'less', 'guessing', 'central', 'case', 'comparing', 'projected', 'capital', 'amount', 'number', 'determine', 'excess', 'point', 'out', '', 'think', 'actual', 'quantum', 'numerator', 'something', 'like', 'billion', 'pretty', 'much', 'reasonable', 'lens', 'ton', 'excess', 've', 'concluded', 'need', 'grow', 'anymore']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jeremy Barnum,A,"Chief Financial Officer, JPMorganChase","['yeah', 'quoted', 'capital', 'hierarchy', 'conclusion', 'flows', 'naturally', 'statement', 'want', 'arrest', 'growth', 'excess']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jamie Dimon,A,"Chairman & Chief Executive Officer, JPMorganChase","['never', 'going', 'tell', 'market', 're', 'going', 'know', 'everybody', 'modeling', 'things', 'trading', 'things', 'steady', 'consistent', 'buyers', 'marketplace', 'predictable', 'making', 'mistake']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jamie Dimon,A,"Chairman & Chief Executive Officer, JPMorganChase","['basic', 'case', 'yeah']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jamie Dimon,A,"Chairman & Chief Executive Officer, JPMorganChase","['yeah', 'unfortunate', 'thing', 'big', 'company', 'like', 'people', 'spotlight', 'time', 'always', 'toing', 'froing', 'several', 'exceptional', 'people', 'guys', 'know', 'them', 'there', 'maybe', 'one', 'two', 'know', 'board', 'reviews', 'meets', 'time', 'think', 'wonderful', 'jenn', 'piepszak', 'want', 'ceo', 'chief', 'operating', 'officer', 'stay', 'that', 'obviously', 'going', 'work', 'people', 'think', 'great', 'company', 'continuity', 'management', 'leadership', 'one', 'people', 'obviously', 're', 'going', 'tell', 'press', 'determined', 'yet', 'course', 'last', 'minute', 'couple', 'years', 'people', 'get', 'sick', 'change', 'mind', 'family', 'circumstances', 'even', 'thought', 'knew', 'today', 'completely', 'sure']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Mike Mayo,Q,"Analyst, Wells Fargo Securities LLC","['who', 'successor']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
John McDonald,Q,"Analyst, Truist Securities, Inc.","['good', 'morning', 'jeremy', 'wanted', 'ask', 'capital', 'know', 'get', 'question', 'lot', 'kind', 'highclass', 'dilemma', 'growing', 'capital', 'base', 'perspective', 'earnings', 'store', 'guess', 'what', 'framework', 'thinking', 'opportunity', 'cost', 'sitting', 'growing', 'base', 'capital', 'high', 'might', 'let', 'versus', 'patience', 'waiting', 'attractive', 'deployment', 'opportunities']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jeremy Barnum,A,"Chief Financial Officer, JPMorganChase","['yeah', 'good', 'question', 'john', 'welcome', 'back', 'way']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
John McDonald,Q,"Analyst, Truist Securities, Inc.","['thank', 'you']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jamie Dimon,A,"Chairman & Chief Executive Officer, JPMorganChase","['welcome', 'back', 'john', 'read', 'piece', 'day', 'took', 'quite', 'while', 'good', 'work']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
John McDonald,Q,"Analyst, Truist Securities, Inc",['thanks'],4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jeremy Barnum,A,"Chief Financial Officer, JPMorganChase","['yeah', 'noted', 'points', 'always', 'make', 'repeat', 'them', 'think', 'way', 're', 'thinking', 'right', 'feel', 'comfortable', 'notion', 'makes', 'sense', 'nice', 'store', 'extra', 'capital', 'light', 'current', 'environment', 'believe', 'there', 'good', 'chance', 'moment', 'get', 'deploy', 'better', 'levels', 'essentially', 'whatever', 'way', 'current', 'opportunities', 'would', 'suggest', 'feels', 'like', 'correct', 'kind', 'strategic', 'financial', 'decision', 'said', 'that', 'studied', 'quite', 'extensively', 'last', 'six', 'months', 'debates', 'would', 'expect', 've', 'concluded', 'enough', 'enough', 'excess', 'given', 'that', 'would', 'like', 'excess', 'grow', 'here', 'think', 'implications', 'that', 'given', 'amount', 'organic', 'capital', 'generation', 're', 'producing', 'means', 'unless', 'find', 'near', 'term', 'opportunities', 'organic', 'deployment', 'otherwise', 'means', 'capital', 'return', 'buybacks', 'else', 'equal', 'order', 'arrest', 'growth', 'excess', 'current', 'plan', 'although', 'll', 'give', 'caveat', 'that', 'know', 'disclosure', 'want', 'get', 'business', 'guiding', 'buybacks', 'reserve', 'right', 'change', 'trajectory', 'time', 'reason', 'current', 'thinking']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
John McDonald,Q,"Analyst, Truist Securities, Inc","['okay', 'thanks', 'jeremy', 'followup', 'think', 'investment', 'spend', 'agenda', 'year', 'differ', 'from', 'say', 'last', 'year', 'last', 'couple', 'years', 'across', 'lines', 'business', 'kind', 'certainty', 'return', 'spectrum', 'talked', 'about', 'kind', 'efficiencies', 'baked', 'outlook', 'well', 'thanks']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jeremy Barnum,A,"Chief Financial Officer, JPMorganChase","['sure', 'truth', 'guess', 'good', 'thing', 'themes', 'remarkably', 'consistent', 'seeing', 'results', 'kind', 'high', 'certainty', 'investment', 'choices', 'across', 'categories', 'know', 'well', 'highlighted', 'outlook', 'page', 'expenses', 'continue', 'main', 'areas', 'focus', 'execution', 'gets', 'tweaked', 'margin', 'pursue', 'different', 'opportunities', 'commercial', 'investment', 'bank', 'continue', 'drilling', 'analyzing', 'relative', 'pockets', 'weakness', 'might', 'see', 'level', 'two', 'significantly', 'strong', 'share', 'positions', 'see', 'aggregate', 'level', 'daniel', 'always', 'talked', 'reds', 'ambers', 'behind', 'greens', 'that', 'embedded', 'culture', 'company', 'everywhere', 'continue', 'analyzing', 'iterating', 'throw', 'resources', 'stuff', 'that', 'but', 'broadly', 'themes', 'consistent', 'think', 'terms', 'efficiency', 'couple', 'things', 'say', 'know', 'well', 'one', 'think', 'efficiency', 'generate', 'company', 'organic', 'bau', 'evergreen', 'happens', 'every', 'day', 'teams', 'everywhere', 'sort', 'part', 'bottoms', 'culture', 'remains', 'case', 'topdown', 'areas', 'focus', 'think', 'example', 'technology', 'starters', 're', 'putting', 'lot', 'effort', 'improving', 'sort', 'ability', 'software', 'engineers', 'productive', 'development', 'there', 'lot', 'focus', 'development', 'environment', 'them', 'order', 'enable', 'productive', 'else', 'equal', 'generates', 'little', 'bit', 'efficiency', 'also', 'lot', 'focus', 'efficiency', 'hardware', 'utilization', 'that', 'embedded', 'well', 'another', 'thing', 'that', 'worth', 'noting', 'recall', 'that', 'investor', 'day', 'talked', 'probably', 'reached', 'peak', 'modernization', 'spend', 'jamie', 'always', 'says', 're', 'always', 'modernizing', 'fact', 've', 'gotten', 'peak', 'might', 'come', 'little', 'bit', 'still', 'means', 're', 'going', 'constantly', 'modernizing', 'but', 'margin', 'means', 'inside', 'tech', 'teams', 'there', 'little', 'bit', 'capacity', 'gets', 'freed', 'focus', 'features', 'new', 'product', 'development', 'also', 'sense', 'form', 'efficiency']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jeremy Barnum,A,"Chief Financial Officer, JPMorganChase","['finally', 'though', 'would', 'say', 'look', 'head', 'count', 'trajectory', 'company', 'last', 'years', 'grown', 'lot', 'good', 'reasons', 'contributed', 'quite', 'bit', 'growth', 'ability', 'run', 'company', 'efficiently', 'time', 'quantum', 'headcount', 'growth', 'well', 'rate', 'headcount', 'growth', 'believe', 'else', 'equal', 'amount', 'inefficiency', 'introduced', 'year', 'went', 'budget', 'cycle', 'ask', 'people', 'margin', 'try', 'support', 'growth', 'company', 'living', 'within', 'means', 'headcount', 'front', 're', 'going', 'try', 'run', 'things', 'important', 'exceptions', 'll', 'highlight', 'second', 'roughly', 'flat', 'head', 'count', 'lead', 'people', 'generating', 'internal', 'efficiencies', 'get', 'creative', 'teams', 'consider', 'efficient', 'ways', 'things', 'obvious', 'exceptions', 'ongoing', 'areas', 'high', 'certainty', 'investment', 'growth', 'obviously', 'branches', 'bankers', 'also', 'critical', 'nonnegotiable', 'areas', 'risk', 'control', 'like', 'cyber', 'whatever', 'independent', 'risk', 'management', 'needs', 'ensure', 're', 'running', 'company', 'safely', 'that', 're', 'thinking', 'efficiency', 'current', 'moment']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
John McDonald,Q,"Analyst, Truist Securities, Inc.","['helpful', 'thank', 'you']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jamie Dimon,A,"Chairman & Chief Executive Officer, JPMorganChase","['efficiently', 'said']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Mike Mayo,Q,"Analyst, Wells Fargo Securities LLC","['simple', 'difficult', 'guess', 'jamie', 'who', 'successor', 'second', 'question', 'know', 'asked', 'question', 'investor', 'day', 'stay', 'ceo', 'little', 'bit', 'longer', 'think', 'hearing', 'investors', 'now', 'goes', 'down', 'think', 'investors', 'would', 'like', 'stay', 'say', 'going', 'stay', 'less', 'five', 'years', 'finally', 'getting', 'wanted', 'years', 'spaghetti', 'chart', 'regulatory', 'structure', 'unpredictability', 'capital', 'requirements', 'regulatory', 'costs', 'seems', 'like', 'finally', 'getting', 'playing', 'for', 'stay', 'around', 'bit', 'longer', 'investors', 'want', 'would', 'otherwise', 'anyway', 'play', 'golf', 'going', 'treasury', 'secretary', 'seems', 'like', 'work', 'hobby', 'right', 'much', 'longer', 'would', 'stay', 'around']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jamie Dimon,A,"Chairman & Chief Executive Officer, JPMorganChase","['love', 'answering', 'second', 'question', 'first', 'look', 're', 'path', 'path', 'senior', 'people', 'company', 'board', 'several', 'years', 'may', 'may', 'chairman', 'that', 'going', 'board', 'really', 'fit', 'new', 'ceo', 'stuff', 'like', 'that', 'talking', 'potentially', 'four', 'five', 'years', 'more', 'll', 'march', 'think', 'rational', 'thing', 've', 'couple', 'health', 'problems', 'know', 'think', 'makes', 'lot', 'sense', 'first', 'question', 'again']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jeremy Barnum,A,"Chief Financial Officer, JPMorganChase","['good', 'next', 'question', 'thanks', 'yeah']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Erika Najarian,Q,"Analyst, UBS Securities LLC","['followup', 'question', 'followup', 'john', 'line', 'questioning', 'placeholder', 'think', 'said', 'trying', 'arrest', 'growth', 'cet', 'now', 'assume', 'anything', 'need', 'organic', 'growth', 'dividend', 'obligations', 'terms', '', 'bought', 'back', 'company', 'think', 'about', 'know', 'want', 'predict', 'buyback', 'sort', 'placeholder', 'think', 'return', 'back', 'shareholders', 'form', 'repurchase']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Matt O'Connor,Q,"Analyst, Deutsche Bank Securities, Inc.","['good', 'morning', 'seems', 'like', 'guys', 'backed', 'view', 'materially', 'overearning', 'net', 'interest', 'income', 'higher', 'rate', 'environment', 'that', 'expected', 'now', 'also', 'partly', 'different', 'view', 'deposit', 'pricing', 'specifically', 'consumer', 'side', 'think', 'assumed', 'would', 'reprice', 'bit', 've', 'seen']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jeremy Barnum,A,"Chief Financial Officer, JPMorganChase","['yeah', 'made', 'public', 'comments', 'conference', 'time', 'back', 'll', 'wants', 'ahead']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Ebrahim H. Poonawala,Q,"Analyst, BofA Securities, Inc.","['thank', 'you']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Gerard Cassidy,Q,"Analyst, RBC Capital Markets LLC","['jeremy', 'jamie', 'jeremy', '']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jeremy Barnum,A,"Chief Financial Officer, JPMorganChase","['yeah', 'good', 'question', 'matt', 'guess', 'maybe', 'let', 'try', 'frame', 'couple', 'different', 'perspectives', 'one', 'hand', 'right', 'look', 'nii', 'guidance', 're', 'giving', 'you', 'including', 'notion', 'subject', 'yield', 'curve', 'panning', 'line', 'current', 'forwards', 'which', 'know', 'one', 'thing', 'know', 'happen', 'want', 'assume', 'something', 'assume', 'forwards', 're', 'sort', 'telling', 'might', 'return', 'sequential', 'growth', 'back', 'half', 'year', 'again', 'based', 'current', 'assumptions', 'else', 'equal', 'could', 'draw', 'conclusion', 'means', 'overearning', 'narrative', 'longer', 'applicable', 'think', 'take', 'big', 'step', 'back', 'historical', 'standards', 'difference', 'policy', 'rate', 'weighted', 'average', 'rate', 'paid', 'consumer', 'deposits', 'remains', 'quite', 'elevated', 'variety', 'reasons', 'subject', 'fact', 'end', 'deposit', 'pricing', 'always', 'going', 'response', 'competitive', 'environment', 'experience', 'field', 'current', 'structure', 'yield', 'curve', 'that', 'time', 'anyway', 'math', 'that', 'see', 'think', 'that', 'truly', 'truly', 'truly', 'sustainable', 'cycle', 'unclear', 'guess', 'll', 'cross', 'bridge', 'come', 'now', 'outlook', 'coming', 'year']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Gerard Cassidy,Q,"Analyst, RBC Capital Markets LLC","['', 'you', 'mentioned', 'comments', 'overall', 'firmwide', 'deposits', 'stabilized', 'second', 'half', 'could', 'see', 'growth', 'think', 'said', 'started', 'see', 'maybe', 'consumer', 'checking', 'deposits', 'noticed', 'industry', 'data', 'regulators', 'household', 'checking', 'deposits', 'prepandemic', 'industry', 'running', 'trillion', 'now', 'remained', 'elevated', 'postpandemic', 'trillion', 'based', 'seeing', 'customer', 'base', 'attribute', 'strength', 'consumer', 'checking', 'account', 'deposits']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jeremy Barnum,A,"Chief Financial Officer, JPMorganChase","['that', 'fascinating', 'gerard', 'take', 'look', 'data', 'actually', 'recognize', 'numbers', 'speak', 'ourselves', 'look', 'encouraging', 'growth', 'see', 'checking', 'franchise', 'couple', 'things', 'course', 'excess', 'yieldseeking', 'behavior', 'see', 'people', 'moving', 'money', 'checking', 'higheryielding', 'alternatives', 'course', 'last', 'couple', 'years', 'rate', 'cycle', 'feels', 're', 'final', 'innings', 'that', 're', 'seeing', 'nearly', 'much', 'yieldseeking', 'pressure', 'seen', 'meantime', 'well', 'know', 'aggressively', 'engaging', 'clients', 'acquiring', 'new', 'clients', 'deepening', 'lot', 'different', 'markets', 'part', 'branch', 'expansion', 'strategy', 'deepening', 'markets', 'combination', 'tailend', 'yieldseeking', 'flows', 'excellent', 'client', 'engagement', 'success', 'sort', 'organic', 'build', 'franchise', 'starting', 'show', 'checking', 'account', 'growth', 'see', 'healthy', 'indicator', 'franchise']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Gerard Cassidy,Q,"Analyst, RBC Capital Markets LLC","['good', 'followup', 'circling', 'back', 'capital', 'levels', 'guys', 'clear', 'want', 'share', 'pros', 'cons', 'jpmorgan', 'perspective', 'much', 'investor', 'understand', 'course', 'share', 'repurchase', 'obviously', 'nondepository', 'acquisitions', 'excess', 'capital', 'pros', 'cons', 'special', 'dividend', 'reduce', 'excess', 'capital', 'continue', 'incredible', 'profitability', 'levels', 'return', 'tangible', 'common', 'equity', 'growing', 'income', 'capital', 'nicely', 'every', 'year', 'pros', 'cons', 'again', 'jpmorgan', 'perspective']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jamie Dimon,A,"Chairman & Chief Executive Officer, JPMorganChase","['jeremy', 'ahead']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jamie Dimon,A,"Chairman & Chief Executive Officer, JPMorganChase","['would', 'point', 'biggest', 'driver', 'credit', 'always', 'unemployment', 'that', 'consumer', 'side', 'bleeds', 'corporate', 'side', 'bleeds', 'mortgages', 'subprime', 'credit', 'card', 'really', 'forecast', 'unemployment', 'make', 'own', 'determine', 'time', 'second', 'thing', 'said', 'vulnerabilities', 'unemployment', 'worst', 'case', 'would', 'stagflation', 'higher', 'rates', 'higher', 'unemployment', 'drive', 'higher', 'credit', 'losses', 'literally', 'across', 'board', 're', 'predicting', 'that', 'asked', 'vulnerability', 'that', 'vulnerability']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jeremy Barnum,A,"Chief Financial Officer, JPMorganChase",['seriously'],4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jamie Dimon,A,"Chairman & Chief Executive Officer, JPMorganChase","['going', 'say', 're', 'going', 'one', 'looked', 'great', 'insights', 'let', 'know', 'people', 'want', 'add', 'shareholder', 'value', 've', 'never', 'thought', 'cash', 'pocket', 'bad', 'thing', 'think', 'huge', 'mistake', 'look', 'life', 'deploy', 'capital', 'want', 'very', 'patient', 'special', 'dividends', 'look', 'history', 'special', 'dividends', 'really', 'basically', 'work']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jeremy Barnum,A,"Chief Financial Officer, JPMorganChase","['anyone', 'different', 'opinion', 're', 'always', 'interested']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Gerard Cassidy,Q,"Analyst, RBC Capital Markets LLC","['sounds', 'good', 'thank', 'you', 'gentlemen']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jeremy Barnum,A,"Chief Financial Officer, JPMorganChase","['thanks', 'gerard']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Ebrahim H. Poonawala,Q,"Analyst, BofA Securities, Inc.","['guess', 'thanks', 'that', 'sticking', 'that', 'far', 'concerned', 'talk', 'experts', 'like', 'one', 'knows', 'right', 'level', 'fed', 'end', 'wondering', 'thoughts', 'fed', 'end', 'pressure', 'system', 'may', 'imply', 'deposit', 'growth']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jeremy Barnum,A,"Chief Financial Officer, JPMorganChase","['good', 'morning', 'gerard']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jeremy Barnum,A,"Chief Financial Officer, JPMorganChase","['see', 'question', 'took', 'second', 'yeah', 'mean', 'look', 'wholesale', 'credit', 'pretty', 'hard', 'predict', 'tends', 'idiosyncratic', 'obviously', 'know', 're', 'coming', 'plus', 'year', 'period', 'exceptionally', 'low', 'chargeoff', 'rate', 'point', 'normalize', 'slightly', 'reasonable', 'level', 'little', 'bit', 'jamie', 'comments', 'earlier', 'things', 'still', 'fully', 'normalized', 'arguably', 'wholesale', 'credit', 'could', 'one', 'those', 'run', 'extensive', 'stress', 'tests', 'sensitivities', 'portfolio', 'portfolio', 'rate', 'shock', 'lot', 'underwriting', 'perspective', 'designed', 'protect', 'that', 'frankly', 'rest', 'assured', 're', 'running', 'relevant', 'analysis', 'inclined', 'detail', 'given', 'sector', 'whatever', 'jamie', 'want', 'add']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Betsy L. Graseck,Q,"Analyst, Morgan Stanley & Co. LLC","['good', 'morning']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
