question_speaker,question_job_title,question,answer_speaker,answer_job_title,answer,filename,financial_quarter,call_date,question_tokenised_data,question_cleaned_data,answer_tokenised_data,answer_cleaned_data
"Jamie Dimon, Chairman & Chief Executive Officer, JPMorgan Chase","Chairman & Chief Executive Officer, JPMorgan Chase & Co.","So I just want to add a couple policy things here. I'm not actually sure they can actually do that, because you have inflationary factors out there, partially driven by QE. And also, look at the volatility. It's not a risk to JPMorgan. It's a risk to the system. And what banks have, I already mentioned the constrained balance sheet a little bit. So the banks will have trillions of dollars of cash and unable to deploy the repo markets. And is it a good policy thing that every time that happens, because you can do it very safely, fully collateralized, all things like that, providing what I call flexible financing in the marketplace, that that happens, the Fed has to step in every time? I think that becomes a policy issue that every time there's some kind of fluctuation in the market, people panic and the Fed has got to step in and provide stuff. And can they always do that if you have a slightly more inflationary environment going forward? So I think you've got to be very thoughtful about this and that's why we do think they should look at calibrating SLR and ECLR and CET1, all of these things, particularly for this. So my view is, it is going to happen again. I can't tell you exactly when, but I'd be surprised if it doesn't happen again.",,,,jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,3Q24,2024-10-11,"['want', 'add', 'couple', 'policy', 'thing', 'here', 'actually', 'sure', 'actually', 'that', 'inflationary', 'factor', 'there', 'partially', 'driven', 'also', 'look', 'volatility', 'risk', 'jpmorgan', 'risk', 'system', 'bank', 'have', 'already', 'mentioned', 'constrained', 'balance', 'sheet', 'little', 'bit', 'bank', 'trillion', 'dollar', 'cash', 'unable', 'deploy', 'repo', 'market', 'good', 'policy', 'thing', 'every', 'time', 'happens', 'safely', 'fully', 'collateralized', 'thing', 'like', 'that', 'providing', 'call', 'flexible', 'financing', 'marketplace', 'happens', 'fed', 'step', 'every', 'time', 'think', 'becomes', 'policy', 'issue', 'every', 'time', 'there', 'kind', 'fluctuation', 'market', 'people', 'panic', 'fed', 'got', 'step', 'provide', 'stuff', 'always', 'slightly', 'inflationary', 'environment', 'going', 'forward', 'think', 'got', 'thoughtful', 'that', 'think', 'look', 'calibrating', 'slr', 'eclr', 'cet', 'thing', 'particularly', 'this', 'view', 'going', 'happen', 'again', 'nt', 'tell', 'exactly', 'when', 'surprised', 'happen', 'again']",['want add couple policy things here im actually sure actually that inflationary factors there partially driven qe also look volatility risk jpmorgan risk system banks have already mentioned constrained balance sheet little bit banks trillions dollars cash unable deploy repo markets good policy thing every time happens safely fully collateralized things like that providing call flexible financing marketplace happens fed step every time think becomes policy issue every time theres kind fluctuation market people panic fed got step provide stuff always slightly inflationary environment going forward think got thoughtful thats think look calibrating slr eclr cet1 things particularly this view is going happen again cant tell exactly when id surprised happen again'],['nan'],['nan']
"Ebrahim H. Poonawala, Analyst, Bank of America Merrill Lynch","Analyst, Bank of America Merrill Lynch",Got it. Thank you both. Operator: Thank you. Our next question comes from the line of Betsy Graseck from Morgan Stanley. Your line is open.,"Jeremy Barnum, Chief Financial Officer, JPMorgan Chase","Chief Financial Officer, JPMorgan Chase & Co.","Hey, Betsy.",jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,3Q24,2024-10-11,"['got', 'thank', 'both', 'operator', 'thank', 'you', 'next', 'question', 'come', 'line', 'betsy', 'graseck', 'morgan', 'stanley', 'line', 'open']",['got it thank both operator: thank you next question comes line betsy graseck morgan stanley line open'],"['hey', 'betsy']",['hey betsy']
"Betsy L. Graseck, Analyst, Morgan Stanley & Co. LLC","Analyst, Morgan Stanley & Co. LLC",Can you hear me? Hello? 15,"Jeremy Barnum, Chief Financial Officer, JPMorgan Chase","Chief Financial Officer, JPMorgan Chase & Co.",Yeah.,jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,3Q24,2024-10-11,"['hear', 'hello']",['hear me hello 15'],['yeah'],['yeah']
"Betsy L. Graseck, Analyst, Morgan Stanley & Co. LLC","Analyst, Morgan Stanley & Co. LLC",Can you hear me okay?,"Jeremy Barnum, Chief Financial Officer, JPMorgan Chase","Chief Financial Officer, JPMorgan Chase & Co.",Yeah. We can hear you. Can you hear us?,jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,3Q24,2024-10-11,"['hear', 'okay']",['hear okay'],"['yeah', 'hear', 'you', 'hear']",['yeah hear you hear us']
"Jeremy Barnum, Chief Financial Officer, JPMorgan Chase","Chief Financial Officer, JPMorgan Chase & Co.","Yeah. Now so when we think of the question of extending duration and really managing duration right now, a couple things to say. So, obviously, a lot of different versions of duration, but one number that we disclose is the EaR. When the 10-Q comes out, you'll see that that number is a little bit lower. It'll come down from $2.8 billion to about $2.1 billion if our current estimates are correct. That's for a number of reasons, some of which are passive, but some of those are active choices to extend duration a little bit. And in the end, the choice to manage and extend duration is really about balancing the volatility of NII against protecting the company from extreme scenarios on either side. And so right now, if we wanted to extend as a result of different factors, we certainly could. We have the capacity inside the portfolio. But for now, we're comfortable with where we are.",,,,jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,3Q24,2024-10-11,"['yeah', 'think', 'question', 'extending', 'duration', 'really', 'managing', 'duration', 'right', 'now', 'couple', 'thing', 'say', 'obviously', 'lot', 'different', 'version', 'duration', 'one', 'number', 'disclose', 'ear', 'q', 'come', 'out', 'see', 'number', 'little', 'bit', 'lower', 'll', 'come', '', 'billion', '', 'billion', 'current', 'estimate', 'correct', 'that', 'number', 'reason', 'passive', 'active', 'choice', 'extend', 'duration', 'little', 'bit', 'end', 'choice', 'manage', 'extend', 'duration', 'really', 'balancing', 'volatility', 'nii', 'protecting', 'company', 'extreme', 'scenario', 'either', 'side', 'right', 'now', 'wanted', 'extend', 'result', 'different', 'factor', 'certainly', 'could', 'capacity', 'inside', 'portfolio', 'now', 're', 'comfortable', 'are']",['yeah think question extending duration really managing duration right now couple things say so obviously lot different versions duration one number disclose ear 10-q comes out see number little bit lower itll come $28 billion $21 billion current estimates correct thats number reasons passive active choices extend duration little bit end choice manage extend duration really balancing volatility nii protecting company extreme scenarios either side right now wanted extend result different factors certainly could capacity inside portfolio now were comfortable are'],['nan'],['nan']
"Jamie Dimon, Chairman & Chief Executive Officer, JPMorgan Chase","Chairman & Chief Executive Officer, JPMorgan Chase & Co.",And the one thing I can assure you is the forward curve will not be the same forward curve in six months.,,,,jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,3Q24,2024-10-11,"['one', 'thing', 'assure', 'forward', 'curve', 'forward', 'curve', 'six', 'month']",['one thing assure forward curve forward curve six months'],['nan'],['nan']
"Steven Chubak, Analyst, Wolfe Research LLC","Analyst, Wolfe Research LLC","Well said. Well, thank you so much for taking my questions.","Jeremy Barnum, Chief Financial Officer, JPMorgan Chase","Chief Financial Officer, JPMorgan Chase & Co.","Thanks, Steve. Operator: Thank you. Next we will go to the line of Erika Najarian from UBS. You may proceed.",jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,3Q24,2024-10-11,"['well', 'said', 'well', 'thank', 'much', 'taking', 'question']",['well said well thank much taking questions'],"['thanks', 'steve', 'operator', 'thank', 'you', 'next', 'line', 'erika', 'najarian', 'ubs', 'may', 'proceed']",['thanks steve operator: thank you next go line erika najarian ubs may proceed']
"Erika Najarian, Analyst, UBS Securities LLC","Analyst, UBS Securities LLC","My first question, and thank you very much for answering all the NII questions so far, Jeremy, is just I guess another follow-up. As you can imagine, once Daniel said what he said on stage in September, everyone is trying to figure out the over/under for net interest income next year. So maybe a two-part first question, the second being inspired by what Jamie just said. 7","Jeremy Barnum, Chief Financial Officer, JPMorgan Chase","Chief Financial Officer, JPMorgan Chase & Co.","Right. Okay. You threw a curve ball at the end there, Erika. I wasn't expecting that to be the end of your question. But let me answer the beginning of your question, and then I'll also answer the end of your question. So we see the current 2025 consensus for NII ex. Markets to be currently at $87 billion, which is obviously lower than it was at the conference earlier in the quarter. So we're happy to see that move a little bit more in line to us. That still looks a little toppy, but it's definitely in the ballpark. Now that consists of, I already mentioned previously that we sort of expect the NII trough sometime in the middle of the year, so you can kind of assemble the parts. You've got a fourth quarter run rate, you've got some sequential declines, you've got a trough in the middle of the year, and you've got a rough ballpark for the full year. So you can imagine that the trough probably is a little lower than those numbers and then to the extent that growth revolve resumes in the back half of the year in both deposit balances and the ongoing tailwind of Card revolve, although that tailwind will be a little bit less than you might have otherwise thought. I mean, sorry. A little bit less than it was this year but still a tailwind. Obviously, the mix of those things will play out in different ways, and as you point out, who knows what the yield curve will wind up doing. But on our current assumptions, on the current yield curve, and remembering that we're in the third quarter now, so we're doing this kind of early, that's what we think.",jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,3Q24,2024-10-11,"['first', 'question', 'thank', 'much', 'answering', 'nii', 'question', 'far', 'jeremy', 'guess', 'another', 'followup', 'imagine', 'daniel', 'said', 'said', 'stage', 'september', 'everyone', 'trying', 'figure', 'overunder', 'net', 'interest', 'income', 'next', 'year', 'maybe', 'twopart', 'first', 'question', 'second', 'inspired', 'jamie', 'said']",['first question thank much answering nii questions far jeremy guess another follow-up imagine daniel said said stage september everyone trying figure over/under net interest income next year maybe two-part first question second inspired jamie said 7'],"['right', 'okay', 'threw', 'curve', 'ball', 'end', 'there', 'erika', 'expecting', 'end', 'question', 'let', 'answer', 'beginning', 'question', 'll', 'also', 'answer', 'end', 'question', 'see', 'current', 'consensus', 'nii', 'market', 'currently', 'billion', 'obviously', 'lower', 'conference', 'earlier', 'quarter', 're', 'happy', 'see', 'move', 'little', 'bit', 'line', 'still', 'look', 'little', 'toppy', 'definitely', 'ballpark', 'consists', 'already', 'mentioned', 'previously', 'sort', 'expect', 'nii', 'trough', 'sometime', 'middle', 'year', 'kind', 'assemble', 'part', 'got', 'fourth', 'quarter', 'run', 'rate', 'got', 'sequential', 'decline', 'got', 'trough', 'middle', 'year', 'got', 'rough', 'ballpark', 'full', 'year', 'imagine', 'trough', 'probably', 'little', 'lower', 'number', 'extent', 'growth', 'revolve', 'resume', 'back', 'half', 'year', 'deposit', 'balance', 'ongoing', 'tailwind', 'card', 'revolve', 'although', 'tailwind', 'little', 'bit', 'less', 'might', 'otherwise', 'thought', 'mean', 'sorry', 'little', 'bit', 'less', 'year', 'still', 'tailwind', 'obviously', 'mix', 'thing', 'play', 'different', 'way', 'point', 'out', 'know', 'yield', 'curve', 'wind', 'doing', 'current', 'assumption', 'current', 'yield', 'curve', 'remembering', 're', 'third', 'quarter', 'now', 're', 'kind', 'early', 'that', 'think']",['right okay threw curve ball end there erika expecting end question let answer beginning question ill also answer end question see current 2025 consensus nii ex markets currently $87 billion obviously lower conference earlier quarter were happy see move little bit line us still looks little toppy definitely ballpark consists of already mentioned previously sort expect nii trough sometime middle year kind assemble parts got fourth quarter run rate got sequential declines got trough middle year got rough ballpark full year imagine trough probably little lower numbers extent growth revolve resumes back half year deposit balances ongoing tailwind card revolve although tailwind little bit less might otherwise thought mean sorry little bit less year still tailwind obviously mix things play different ways point out knows yield curve wind doing current assumptions current yield curve remembering were third quarter now were kind early thats think']
"Saul Martinez, Analyst, HSBC Securities (USA), Inc.","Analyst, HSBC Securities (USA), Inc.",Yes. Got it. Okay. That's helpful. Thanks a lot. That's all I got.,"Jeremy Barnum, Chief Financial Officer, JPMorgan Chase","Chief Financial Officer, JPMorgan Chase & Co.","Thanks, Saul. Thanks, everyone.",jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,3Q24,2024-10-11,"['yes', 'got', 'okay', 'that', 'helpful', 'thanks', 'lot', 'that', 'got']",['yes got it okay thats helpful thanks lot thats got'],"['thanks', 'saul', 'thanks', 'everyone']",['thanks saul thanks everyone']
"Saul Martinez, Analyst, HSBC Securities (USA), Inc.","Analyst, HSBC Securities (USA), Inc.","Okay. That's helpful. So it sounds like you're a little bit above that, but there's still some pressure. But you're not dramatically above those levels.","Jamie Dimon, Chairman & Chief Executive Officer, JPMorgan Chase","Chairman & Chief Executive Officer, JPMorgan Chase & Co.","Very good returns in business in both Banking & Wealth Management. We're growing market share. And when we build branches and stuff like that, we don't necessarily assume current margins. We look at what would be normal margins over time. And we're very comfortable doing very nice business for you all.",jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,3Q24,2024-10-11,"['okay', 'that', 'helpful', 'sound', 'like', 'little', 'bit', 'that', 'there', 'still', 'pressure', 'dramatically', 'level']",['okay thats helpful sounds like little bit that theres still pressure dramatically levels'],"['good', 'return', 'business', 'banking', 'wealth', 'management', 're', 'growing', 'market', 'share', 'build', 'branch', 'stuff', 'like', 'that', 'necessarily', 'assume', 'current', 'margin', 'look', 'would', 'normal', 'margin', 'time', 're', 'comfortable', 'nice', 'business', 'all']",['good returns business banking & wealth management were growing market share build branches stuff like that necessarily assume current margins look would normal margins time were comfortable nice business all']
"Jeremy Barnum, Chief Financial Officer, JPMorgan Chase","Chief Financial Officer, JPMorgan Chase & Co.","Absolutely. Yeah, we agree.",,,,jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,3Q24,2024-10-11,"['absolutely', 'yeah', 'agree']",['absolutely yeah agree'],['nan'],['nan']
"Jamie Dimon, Chairman & Chief Executive Officer, JPMorgan Chase","Chairman & Chief Executive Officer, JPMorgan Chase & Co.","Jeremy, correct me if you think I'm wrong. The abnormal time period was when rates were between 0% and 1% or 2%. Other than that, if you're looking at, say, what are normal deposit margins in the normal banking business, forget people going after really hot money if that happens, it's 2% to 2.5%.",,,,jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,3Q24,2024-10-11,"['jeremy', 'correct', 'think', 'wrong', 'abnormal', 'time', 'period', 'rate', 'that', 'looking', 'say', 'normal', 'deposit', 'margin', 'normal', 'banking', 'business', 'forget', 'people', 'going', 'really', 'hot', 'money', 'happens', '']",['jeremy correct think im wrong abnormal time period rates 0% 1% 2% that looking at say normal deposit margins normal banking business forget people going really hot money happens 2% 25%'],['nan'],['nan']
"Jeremy Barnum, Chief Financial Officer, JPMorgan Chase","Chief Financial Officer, JPMorgan Chase & Co.",basis points that we've seen historically. That's how you kind of assemble a tailwind from normalized deposit margin and balance growth in Consumer.,,,,jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,3Q24,2024-10-11,"['basis', 'point', 've', 'seen', 'historically', 'that', 'kind', 'assemble', 'tailwind', 'normalized', 'deposit', 'margin', 'balance', 'growth', 'consumer']",['basis points weve seen historically thats kind assemble tailwind normalized deposit margin balance growth consumer'],['nan'],['nan']
"Betsy L. Graseck, Analyst, Morgan Stanley & Co. LLC","Analyst, Morgan Stanley & Co. LLC",Thank you so much. Operator: Thank you. Our final question will come from Saul Martinez with HSBC. Your line is open.,"Jeremy Barnum, Chief Financial Officer, JPMorgan Chase","Chief Financial Officer, JPMorgan Chase & Co.","Sure. Yeah, thanks for the question, Saul. And I think you've laid out the building blocks there already. Just for simplicity, I'm going to try to answer your question without referring to the disclosed CCB deposit margin number, just because that number is obviously the combination of the rate paid on the CCB deposits and the internal FTP into that. And that is a complicated thing that evolves as a function of the modeling of the betas and other things. So I think it's actually more helpful to look at this simply from a Firmwide perspective and look at the evolution of the rate paid in the context of the policy rates roughly, and just set aside the duration management and all those sort of factors. And I think when you do that, what you see is we've been saying for a while that the deposit margin defined for these purposes is simply the difference between the policy rate and the weighted-average rate paid of the consumer deposits, was unsustainably high. And that was going to have to correct one way or the other. Either deposits were going to reprice at the product level through checking and savings, and/or we were going to see a ton of internal migration, i.e. growth in the CD mix, and/or we would see a lower policy rate. So as we sit here right now, of course, we make pricing decisions in the context of market competition at any given moment looking at what the environment is for deposits, but we have not needed to reprice in order to retain primary bank relationships which was also our core strategy. We were never going to chase sort of the hot money at the margin. We've leaned in heavily to CDs and gotten to the current level of CD mix, and that's been a good strategy. And from where we sit now, we now have the margin coming down as a result of the policy rate coming down. It seems that, that puts us in a pretty comfortable position from a pricing perspective. We think the CD mix has probably peaked. Now, on the way down, it's not going to go back down to zero, where it was at the beginning of the cycle. That's an important thing to realize. So all else equal, that creates a little bit of margin compression. And then through all of that, obviously, a lower yield environment should mean that there's a little bit less outflow from consumer deposits, as I mentioned. We're seeing a lot less yield-seeking behavior. So then when you overlay on to that what you mentioned, which is our long-term share growth in CCB deposits, in no small part as a function of the brand strategy and the buildout and the fact that only about a quarter of our top 125 markets in CCB are at that 15% share number, so we believe there's big opportunity to grow the rest of it and be on track at the type of average annual share growth of the order of 30 basis points or 40 18",jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,3Q24,2024-10-11,"['thank', 'much', 'operator', 'thank', 'you', 'final', 'question', 'come', 'saul', 'martinez', 'hsbc', 'line', 'open']",['thank much operator: thank you final question come saul martinez hsbc line open'],"['sure', 'yeah', 'thanks', 'question', 'saul', 'think', 'laid', 'building', 'block', 'already', 'simplicity', 'going', 'try', 'answer', 'question', 'without', 'referring', 'disclosed', 'ccb', 'deposit', 'margin', 'number', 'number', 'obviously', 'combination', 'rate', 'paid', 'ccb', 'deposit', 'internal', 'ftp', 'that', 'complicated', 'thing', 'evolves', 'function', 'modeling', 'beta', 'thing', 'think', 'actually', 'helpful', 'look', 'simply', 'firmwide', 'perspective', 'look', 'evolution', 'rate', 'paid', 'context', 'policy', 'rate', 'roughly', 'set', 'aside', 'duration', 'management', 'sort', 'factor', 'think', 'that', 'see', 've', 'saying', 'deposit', 'margin', 'defined', 'purpose', 'simply', 'difference', 'policy', 'rate', 'weightedaverage', 'rate', 'paid', 'consumer', 'deposit', 'unsustainably', 'high', 'going', 'correct', 'one', 'way', 'other', 'either', 'deposit', 'going', 'reprice', 'product', 'level', 'checking', 'saving', 'andor', 'going', 'see', 'ton', 'internal', 'migration', 'ie', 'growth', 'mix', 'andor', 'would', 'see', 'lower', 'policy', 'rate', 'sit', 'right', 'now', 'course', 'make', 'pricing', 'decision', 'context', 'market', 'competition', 'given', 'moment', 'looking', 'environment', 'deposit', 'needed', 'reprice', 'order', 'retain', 'primary', 'bank', 'relationship', 'also', 'core', 'strategy', 'never', 'going', 'chase', 'sort', 'hot', 'money', 'margin', 've', 'leaned', 'heavily', 'cd', 'gotten', 'current', 'level', 'mix', 'that', 'good', 'strategy', 'sit', 'now', 'margin', 'coming', 'result', 'policy', 'rate', 'coming', 'down', 'seems', 'that', 'put', 'pretty', 'comfortable', 'position', 'pricing', 'perspective', 'think', 'mix', 'probably', 'peaked', 'now', 'way', 'down', 'going', 'back', 'zero', 'beginning', 'cycle', 'that', 'important', 'thing', 'realize', 'else', 'equal', 'creates', 'little', 'bit', 'margin', 'compression', 'that', 'obviously', 'lower', 'yield', 'environment', 'mean', 'there', 'little', 'bit', 'less', 'outflow', 'consumer', 'deposit', 'mentioned', 're', 'seeing', 'lot', 'less', 'yieldseeking', 'behavior', 'overlay', 'mentioned', 'longterm', 'share', 'growth', 'ccb', 'deposit', 'small', 'part', 'function', 'brand', 'strategy', 'buildout', 'fact', 'quarter', 'top', 'market', 'ccb', 'share', 'number', 'believe', 'there', 'big', 'opportunity', 'grow', 'rest', 'track', 'type', 'average', 'annual', 'share', 'growth', 'order', 'basis', 'point']",['sure yeah thanks question saul think laid building blocks already simplicity im going try answer question without referring disclosed ccb deposit margin number number obviously combination rate paid ccb deposits internal ftp that complicated thing evolves function modeling betas things think actually helpful look simply firmwide perspective look evolution rate paid context policy rates roughly set aside duration management sort factors think that see weve saying deposit margin defined purposes simply difference policy rate weighted-average rate paid consumer deposits unsustainably high going correct one way other either deposits going reprice product level checking savings and/or going see ton internal migration ie growth cd mix and/or would see lower policy rate sit right now course make pricing decisions context market competition given moment looking environment deposits needed reprice order retain primary bank relationships also core strategy never going chase sort hot money margin weve leaned heavily cds gotten current level cd mix thats good strategy sit now margin coming result policy rate coming down seems that puts us pretty comfortable position pricing perspective think cd mix probably peaked now way down going go back zero beginning cycle thats important thing realize else equal creates little bit margin compression that obviously lower yield environment mean theres little bit less outflow consumer deposits mentioned were seeing lot less yield-seeking behavior overlay mentioned long-term share growth ccb deposits small part function brand strategy buildout fact quarter top 125 markets ccb 15% share number believe theres big opportunity grow rest track type average annual share growth order 30 basis points 40 18']
"Betsy L. Graseck, Analyst, Morgan Stanley & Co. LLC","Analyst, Morgan Stanley & Co. LLC",I'm just wondering about private label credit card for example. Is that something that would help clients? 17,"Jamie Dimon, Chairman & Chief Executive Officer, JPMorgan Chase","Chairman & Chief Executive Officer, JPMorgan Chase & Co.","Almost no chance. Well, but having – it's very important. While I say that, I always tell the management team second-guess me. I mean, we've done private label. I know what it is, we've been there. I have a lot of issues with it. But is it possible it's going to be different one day and a different thing? Yeah, it's possible, so I don't want to cut it off. If Marianne Lake says to me, Jamie I think clearly the world's changed, we're going to change. But right now, we'd say no, there's no chance.",jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,3Q24,2024-10-11,"['wondering', 'private', 'label', 'credit', 'card', 'example', 'something', 'would', 'help', 'client']",['im wondering private label credit card example something would help clients 17'],"['almost', 'chance', 'well', 'important', 'say', 'that', 'always', 'tell', 'management', 'team', 'secondguess', 'mean', 've', 'done', 'private', 'label', 'know', 've', 'there', 'lot', 'issue', 'possible', 'going', 'different', 'one', 'day', 'different', 'thing', 'yeah', 'possible', 'want', 'cut', 'off', 'marianne', 'lake', 'say', 'jamie', 'think', 'clearly', 'world', 'changed', 're', 'going', 'change', 'right', 'now', 'say', 'there', 'chance']",['almost chance well – important say that always tell management team second-guess me mean weve done private label know is weve there lot issues it possible going different one day different thing yeah possible want cut off marianne lake says me jamie think clearly worlds changed were going change right now wed say no theres chance']
"Betsy L. Graseck, Analyst, Morgan Stanley & Co. LLC","Analyst, Morgan Stanley & Co. LLC","And what about like a private label credit card, for example.","Jamie Dimon, Chairman & Chief Executive Officer, JPMorgan Chase","Chairman & Chief Executive Officer, JPMorgan Chase & Co.",[indiscernible],jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,3Q24,2024-10-11,"['like', 'private', 'label', 'credit', 'card', 'example']",['like private label credit card example'],['indiscernible'],['[indiscernible]']
"Betsy L. Graseck, Analyst, Morgan Stanley & Co. LLC","Analyst, Morgan Stanley & Co. LLC",What about loans? The Apple card…,"Jamie Dimon, Chairman & Chief Executive Officer, JPMorgan Chase","Chairman & Chief Executive Officer, JPMorgan Chase & Co.","But creating those assets to help clients. That's a whole different matter because when it comes to clients, we earn credit asset spread and we usually have other stuff. If our bankers can deploy capital that way, of course be that we want to do more. And our CIO could deploy capital in multiple ways, we would probably do more. And we ask all the time can we do more in affordable housing, can we do more in things we're actually quite comfortable. And yeah, if we could find ways to deploy capital, we would be happy to do that. But put us in your closest category...",jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,3Q24,2024-10-11,"['loan', 'apple', 'card']",['loans apple card…'],"['creating', 'asset', 'help', 'client', 'that', 'whole', 'different', 'matter', 'come', 'client', 'earn', 'credit', 'asset', 'spread', 'usually', 'stuff', 'banker', 'deploy', 'capital', 'way', 'course', 'want', 'more', 'cio', 'could', 'deploy', 'capital', 'multiple', 'way', 'would', 'probably', 'more', 'ask', 'time', 'affordable', 'housing', 'thing', 're', 'actually', 'quite', 'comfortable', 'yeah', 'could', 'find', 'way', 'deploy', 'capital', 'would', 'happy', 'that', 'put', 'closest', 'category', '']",['creating assets help clients thats whole different matter comes clients earn credit asset spread usually stuff bankers deploy capital way course want more cio could deploy capital multiple ways would probably more ask time affordable housing things were actually quite comfortable yeah could find ways deploy capital would happy that put us closest category']
"Betsy L. Graseck, Analyst, Morgan Stanley & Co. LLC","Analyst, Morgan Stanley & Co. LLC","Okay. Then one for Jamie. Jamie, we did talk already quite a bit about the capital that you have, capital in store. Just wanted to understand how you're thinking about that opportunity set that's in front of you with regard to using it for potentially portfolio acquisitions. I realize that depositories are not on the docket, but we all know there's portfolios out there that might be looking for a home. And could you give us a sense as to how interested you might be in acquiring assets at this stage?","Jamie Dimon, Chairman & Chief Executive Officer, JPMorgan Chase","Chairman & Chief Executive Officer, JPMorgan Chase & Co.","Yeah. So asset acquisitions, I mean I always want our people to be looking at those things and thinking about those things. But if you listen to what I'm saying about my caution about the world, it's hard for me to say that we're going to be in the market to buy credit assets.",jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,3Q24,2024-10-11,"['okay', 'one', 'jamie', 'jamie', 'talk', 'already', 'quite', 'bit', 'capital', 'have', 'capital', 'store', 'wanted', 'understand', 'thinking', 'opportunity', 'set', 'that', 'front', 'regard', 'using', 'potentially', 'portfolio', 'acquisition', 'realize', 'depository', 'docket', 'know', 'there', 'portfolio', 'might', 'looking', 'home', 'could', 'give', 'sense', 'interested', 'might', 'acquiring', 'asset', 'stage']",['okay one jamie jamie talk already quite bit capital have capital store wanted understand thinking opportunity set thats front regard using potentially portfolio acquisitions realize depositories docket know theres portfolios might looking home could give us sense interested might acquiring assets stage'],"['yeah', 'asset', 'acquisition', 'mean', 'always', 'want', 'people', 'looking', 'thing', 'thinking', 'thing', 'listen', 'saying', 'caution', 'world', 'hard', 'say', 're', 'going', 'market', 'buy', 'credit', 'asset']",['yeah asset acquisitions mean always want people looking things thinking things listen im saying caution world hard say were going market buy credit assets']
"Betsy L. Graseck, Analyst, Morgan Stanley & Co. LLC","Analyst, Morgan Stanley & Co. LLC",And so Daniel's comments in September were on NII in total or NII ex. Markets? Could you just clarify that?,"Jeremy Barnum, Chief Financial Officer, JPMorgan Chase","Chief Financial Officer, JPMorgan Chase & Co.","No. Those were core NII or NII ex.. So again, reiterating at the time, the 2024 consensus was $91.5 billion. The 2025 consensus was $90 billion on NII ex. and our point was that that number, which remains an asset-sensitive number, indicated an insufficient amount of sequential decline year-on-year. The current consensus as we see it for NII ex. Markets is $87 billion. And as we've noted, that's closer albeit maybe still a little bit toppy.",jpmc-third-quarter-2024-earnings-conference-call-transcript.pdf,3Q24,2024-10-11,"['daniel', 'comment', 'september', 'nii', 'total', 'nii', 'market', 'could', 'clarify', 'that']",['daniels comments september nii total nii ex markets could clarify that'],"['core', 'nii', 'nii', 'again', 'reiterating', 'time', 'consensus', '', 'billion', 'consensus', 'billion', 'nii', 'point', 'number', 'remains', 'assetsensitive', 'number', 'indicated', 'insufficient', 'amount', 'sequential', 'decline', 'yearonyear', 'current', 'consensus', 'see', 'nii', 'market', 'billion', 've', 'noted', 'that', 'closer', 'albeit', 'maybe', 'still', 'little', 'bit', 'toppy']",['no core nii nii ex again reiterating time 2024 consensus $915 billion 2025 consensus $90 billion nii ex point number remains asset-sensitive number indicated insufficient amount sequential decline year-on-year current consensus see nii ex markets $87 billion weve noted thats closer albeit maybe still little bit toppy']
