speaker,job_title,utterance,call_date,financial_quarter,source_file,ex_dummy,category,question,answer
Andrew Coombs,Citi,Thank you.,25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,Citi,Thank you.,
Adam Terelak,Mediobanca,"Morning. I've got two. One is a bit of a follow up on LCR and on your long-term funding strategy. Clearly, LCR standalone is pretty strong. If you look at the business you're acquiring, then it's really propped up by a big SNB liquidity line and that deposits are very, very low. Loans to deposit is 157%. So, I was just wondering how you're thinking about your long-term funding strategy through the acquisition and how you might deal with kind of the flight of deposits that they have seen and how you can integrate that into your liquidity model going forward. And then second on a slightly different topic. In GWM, you've got flat costs on lower revenues, and a favorable revenue mix with NII up and fees down. Normally, that is a good mix for your cost base. Could you just discuss a little bit more what's going on in there, what sort of inflation you're seeing, whether there is an increased competition for relationship managers, and whether that's changing given the new environment? Thank you.",25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,Mediobanca,"Morning. I've got two. One is a bit of a follow up on LCR and on your long-term funding strategy. Clearly, LCR standalone is pretty strong. If you look at the business you're acquiring, then it's really propped up by a big SNB liquidity line and that deposits are very, very low. Loans to deposit is 157%. So, I was just wondering how you're thinking about your long-term funding strategy through the acquisition and how you might deal with kind of the flight of deposits that they have seen and how you can integrate that into your liquidity model going forward. And then second on a slightly different topic. In GWM, you've got flat costs on lower revenues, and a favorable revenue mix with NII up and fees down. Normally, that is a good mix for your cost base. Could you just discuss a little bit more what's going on in there, what sort of inflation you're seeing, whether there is an increased competition for relationship managers, and whether that's changing given the new environment? Thank you.",
Adam Terelak,Mediobanca,"Okay. So the inflationary pressure, that sounds quite high to be managed down.",25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,Mediobanca,"Okay. So the inflationary pressure, that sounds quite high to be managed down.",
Adam Terelak,Mediobanca,Thank you.,25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,Mediobanca,Thank you.,
Jeremy Sigee,Exane,"Morning. Thank you and welcome back to Sergio from me as well. I just want to pick up on a couple of topics that you've touched on already. Firstly, you talked about the Swiss banks combined market share. I wanted to clarify, is your plan to fully integrate the two networks under a single brand, single product range, single network, back office, head office? And then secondly, you also touched on the risk shelter. If I read the documents, it seems narrowly defined so that it won't cover things like litigation, restructuring, or indeed the operating costs of noncore, only asset disposal losses. So, it seems relatively unlikely to be drawn. So, I just wanted to ask, is it your base case that you will draw on that risk shelter or that you also agree it's unlikely that you will draw on that risk shelter.",25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,Exane,"Morning. Thank you and welcome back to Sergio from me as well. I just want to pick up on a couple of topics that you've touched on already. Firstly, you talked about the Swiss banks combined market share. I wanted to clarify, is your plan to fully integrate the two networks under a single brand, single product range, single network, back office, head office? And then secondly, you also touched on the risk shelter. If I read the documents, it seems narrowly defined so that it won't cover things like litigation, restructuring, or indeed the operating costs of noncore, only asset disposal losses. So, it seems relatively unlikely to be drawn. So, I just wanted to ask, is it your base case that you will draw on that risk shelter or that you also agree it's unlikely that you will draw on that risk shelter.",
Jeremy Sigee,Exane,"Great, thank you very much.",25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,Exane,"Great, thank you very much.",
Anke Reingen,RBC,"Yeah. Thank you very much for taking my question. The first is just about the mechanics as you pay with the treasury shares if there's a difference versus, yeah, new share issuance just, yeah, conceptually and in terms of the impact. And then secondly, just a different question on your commercial real estate exposure. Can you give us a bit more detail on the regional mix, potentially maturity profile, LTV and so on? Thank you very much.",25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,RBC,"Yeah. Thank you very much for taking my question. The first is just about the mechanics as you pay with the treasury shares if there's a difference versus, yeah, new share issuance just, yeah, conceptually and in terms of the impact. And then secondly, just a different question on your commercial real estate exposure. Can you give us a bit more detail on the regional mix, potentially maturity profile, LTV and so on? Thank you very much.",
Anke Reingen,RBC,Okay. Thank you.,25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,RBC,Okay. Thank you.,
Amit Goel,Barclays,"Hi. Thank you and welcome back, Sergio, too from me. So, two questions. The first, again, just on the transaction and the announcement on – on day one, I just wanted to check in terms of the cost savings and the timeline for EPS accretion whether or not your conviction levels have changed based on the information that you have had or seen since then. And then secondly, I was a bit surprised by the amount of, I guess, deposit outflow on a reported basis for GWM in the quarter. Do you mind just going through that just going through that in a bit more detail? You know, because obviously that's net of the inflows that we're seeing towards the end of the quarter. So, I appreciate there was a bit of a shift in mix and so forth. But if you could give a bit more color, that would be helpful. Thank you.",25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,Barclays,"Hi. Thank you and welcome back, Sergio, too from me. So, two questions. The first, again, just on the transaction and the announcement on – on day one, I just wanted to check in terms of the cost savings and the timeline for EPS accretion whether or not your conviction levels have changed based on the information that you have had or seen since then. And then secondly, I was a bit surprised by the amount of, I guess, deposit outflow on a reported basis for GWM in the quarter. Do you mind just going through that just going through that in a bit more detail? You know, because obviously that's net of the inflows that we're seeing towards the end of the quarter. So, I appreciate there was a bit of a shift in mix and so forth. But if you could give a bit more color, that would be helpful. Thank you.",
Amit Goel,Barclays,"Okay. Thanks. And just on the cost savings, is that kind of, I guess, conditional on what the outcome is for the Swiss business? And is the conviction still there on the greater than 8 billion?",25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,Barclays,"Okay. Thanks. And just on the cost savings, is that kind of, I guess, conditional on what the outcome is for the Swiss business? And is the conviction still there on the greater than 8 billion?",
Amit Goel,Barclays,"Okay. Thank you. Benjamin Goy; Deutsche Bank Yes. Hi. Good morning. Two questions, please. The first is you reiterated the 25% of the new group going forward with the investment bank, but if I combined UBS and Credit Suisse as of Q1, I am already at that number before fully transferring the current products and so on? So, does it mean you're already happy with the perimeter of the group and potentially happy to diversify your fixed income business via their credit sales and trading? Or is this number ultimately going lower towards maybe 20% or whatever the number is? And then, secondly, wondering about global wealth management. Do you re-underwrite the Credit Suisse client from a risk perspective? i.e. is there a new onboarding process or do they just join as of…the deal completing? Thank you.",25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,Barclays,"Okay. Thank you. Benjamin Goy; Deutsche Bank Yes. Hi. Good morning. Two questions, please. The first is you reiterated the 25% of the new group going forward with the investment bank, but if I combined UBS and Credit Suisse as of Q1, I am already at that number before fully transferring the current products and so on? So, does it mean you're already happy with the perimeter of the group and potentially happy to diversify your fixed income business via their credit sales and trading? Or is this number ultimately going lower towards maybe 20% or whatever the number is? And then, secondly, wondering about global wealth management. Do you re-underwrite the Credit Suisse client from a risk perspective? i.e. is there a new onboarding process or do they just join as of…the deal completing? Thank you.",
Tom Hallet,KBW,"Good morning, everyone. So, just a couple for me. So, I mean first of all, how concerned are you around the revenue attrition already taking place at Credit Suisse? You know I guess where I'm coming from is based on the current revenue trajectory, the 8 billion of cost reductions might not actually be enough. So, could we be in a situation where a deeper restructuring is required. And then maybe secondly, around buybacks. I mean, part of the issue there is people are trying to time it and obviously, work out the capital and so forth. I suppose that you got one side, you got the government guarantees and then on the other, you've got a very politically sensitive situation. And I suppose regardless of your capital position, is it fair to assume that buybacks are very much kind of at the back of mind for now and we're talking 18 plus months away before you can even consider that between the link between obviously your strong capital position – expected capital position and the government guarantees. Thanks.",25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,KBW,"Good morning, everyone. So, just a couple for me. So, I mean first of all, how concerned are you around the revenue attrition already taking place at Credit Suisse? You know I guess where I'm coming from is based on the current revenue trajectory, the 8 billion of cost reductions might not actually be enough. So, could we be in a situation where a deeper restructuring is required. And then maybe secondly, around buybacks. I mean, part of the issue there is people are trying to time it and obviously, work out the capital and so forth. I suppose that you got one side, you got the government guarantees and then on the other, you've got a very politically sensitive situation. And I suppose regardless of your capital position, is it fair to assume that buybacks are very much kind of at the back of mind for now and we're talking 18 plus months away before you can even consider that between the link between obviously your strong capital position – expected capital position and the government guarantees. Thanks.",
Tom Hallet,KBW," Great. Thanks, Sergio.",25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,KBW," Great. Thanks, Sergio.",
Nicholas Payen,Kepler Cheuvreux,"Yes. Good morning. Thanks for taking my question. I have two. The first one is for you, Sergio. I would like to know if you had noticed anything which was radically different at UBS and its processes, organization, or anything between your departure in 2020 and today? And the second question is regarding Americas and GWM. There was quite a significant drop in advisors, and I would like to know if there was any underlying reason for this drop. Thank you.",25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,Kepler Cheuvreux,"Yes. Good morning. Thanks for taking my question. I have two. The first one is for you, Sergio. I would like to know if you had noticed anything which was radically different at UBS and its processes, organization, or anything between your departure in 2020 and today? And the second question is regarding Americas and GWM. There was quite a significant drop in advisors, and I would like to know if there was any underlying reason for this drop. Thank you.","On GWM, you actually have a technicality, which is that we put in our FA’s at both the very high end of FA’s, but also the people that are in that client advice center, and so it came really mostly from the client advice center. And so really focusing on the flows and the productivity of the FA’s is where we are and we are not seeing an issue here. In fact, you have seen the very good flows that we have experienced in the U.S. this quarter."
Andrew Lim,Société Générale,"Hi. Good morning. And welcome back, Sergio, from me as well. So, my first question is on NII. Appreciate the more integrated disclosure on the beta and the migration. I was wondering if you could talk more specifically about how that plays out on a geographical basis. Is that the greater pressure on the beta migration mainly from the U.S. side or are we seeing any changes in Europe and Asia as well? And maybe you can give some color on how your NII should pan out based on forward curves into 2024. And then my next question is on the IB. Appreciate you've yet to outline the perimeter of what mean – of what goes into non-core. But at the same time, you've been very specific about your IB DNA for the past few years now. And so, there's a question mark over the lev fin business which CS lumps with IBD. I guess the question is how do you see that business within your IB structure?",25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,Société Générale,,"In terms of the NII, so, looking at it by region and really by currency is how we think about it. What you have, first of all, as a broad statement is that for each product category in each region and the realized beta at or below the modelled beta. But then what you have is you have mix shifts within the deposit products which are yielding those higher overall, on basically repricing. And what we are seeing is then based on where we are in the cycle. So in the U.S. where those very high rates where we are at very high incremental betas. And that's continuing with the mix shift that I've discussed in the best interest of the clients. And then you have in Europe, we went from being really at fairly low levels to – now moving into a place where there is price sensitivity, especially for GWM clients. So, you have seen an increase, which is totally planned, but a little bit of mix shift also there, but a bit less on the mix shift there. And then on – in Switzerland, you've got a mix where you've got the P&C, especially in Personal Banking where you still have a very low level of rates in all of Switzerland. And we have put in place appropriate levels of pricing actions, but yet have – or are still in that place in the cycle where you are seeing less of a shift or repricing just based on where the currencies are. So, going into the next year, you're continuing to go higher for all of the currencies and 2024, really, it will depend on the rate path."
Alastair Ryan,Bank of America,"Yeah. Thank you. Good morning. A billion dollar beat in the quarter. I never did quite get the hang of forecasting lark. Just on that then -- so non-core, very strong performance and appreciate the updated runoff profile you give us on slide 6. Is there any reason that you're just reverting to natural runoff or can we expect continued sales if markets stay favorable because clearly there's quite a meaningful driver of the very favorable capital ratio and the interactions of all of those. And then secondly, the project to improve the revenue to risk-weighted assets in wealth management, are presumably, you wouldn't represent the Q1 performances kind of the payoff of that project is? It's too early but just what's the profile of that project? How long is that repricing sitting on the net new asset generation and has it started? Thank you.",7 May 2024,1Q24,1q24-earnings-call-remarks.pdf,,Bank of America,,
Alastair Ryan,Bank of America,"Yes, yes. Thank you, Sergio.",7 May 2024,1Q24,1q24-earnings-call-remarks.pdf,,Bank of America,"Yes, yes. Thank you, Sergio.","Hey, Alastair. Thanks for the questions. So on NCL, I mean first reverting to natural runoff. I mean, we've been consistent in just reflecting the natural runoff profile. What I think the slide 6 really does indicate is, it really narrows that, that delta between where we started, you know, as you can see where we set our ambition is to reduce to 5% and, you know, that the natural runoff profile has really come in. You see that the delta between the natural runoff profile and where we, our ambition is narrowed. So that should, eliminate whatever uncertainty was considered, but I do think that it's appropriate still to reflect it that way in terms of, you know, whether we can do more of course we're going to continue to do what we can. We'll try to position -- we'll try to exit positions, at or above their, their book values wherever possible. But, you know, it's appropriate to continue to stick with our guidance on NCL, in terms of, you know, our approach, and in terms of our expectations around revenues. On GWM in terms of revenue over the RWA, I mentioned that we're starting to see progress, which of course does suggest you asked, has it started and it has. In fact, it started at the end of last year and the business is quite active in it. And, and so, we would expect that we're going to continue to make progress on driving up RWA efficiency with respect to revenues in that respect over the course of the next couple of years. You asked how long that will impact. How long will it go? How long will it impact net new assets? We said, it's going to take the better part of two years which is why we guided net new assets of around 200 billion over that two-year timeframe. And we think that's the appropriate guidance still."
Alastair Ryan,Bank of America,"Okay. Thank you. And Sergio, thank you.",7 May 2024,1Q24,1q24-earnings-call-remarks.pdf,,Bank of America,,
Yeah. Hey Chris,"I’ll take the first so on, on whether the opex progress that we saw, sort of informs a better","view on the net that we’ll get to. Look, you know I think we're quite pleased with that 1Q operating expense performance. We did highlight that we expect gross saves to be halfway to our 13 billion ambitions at the end of the year which is a bit better than we highlighted in February in large part because of the 1Q performance that we saw. But look, we still -- our ambition is a cost-to-income ratio of less than 70% at the end of 2026. That's what we're really focused on to manage to and so how we pace any investments, which we'll continue to make in, for example, the resilience of our infrastructure, the organic growth in our core businesses, how we pace that will be a function of the revenue environment. So it is still -- it is still way too early to change that perspective. But of course, we are pleased with the opex performance we saw in 1Q. As to how that impacts on the return on CET1 path that you mentioned, I would say that coupled with the updated NCL full-year PBT guidance I gave, would have roughly 100 to - slightly above basis point impact on the return on CET1, but I would still say mid single-digits is the right way to think about the full year ROCET1, even with the 1Q performance that we produced.",7 May 2024,1Q24,1q24-earnings-call-remarks.pdf,,"I’ll take the first so on, on whether the opex progress that we saw, sort of informs a better",,
Chris Hallam,Goldman Sachs,Right. Thank you.,7 May 2024,1Q24,1q24-earnings-call-remarks.pdf,,Goldman Sachs,Right. Thank you.,
Kian Abouhossein,JP,"Morgan Yes. Thank you for taking my question. I have a lot of detailed questions, but I wanted to ask two questions actually to Sergio, if I may. The first one is Sergio, your first comment on the call today were, we were asked to do a critical role in Switzerland. And -- the key here is you were asked to buy a distressed asset, a G-SIB asset and when you buy something, which you are asked to buy, you clearly are in control of the process. And I would assume just like you do in an M&A transaction, you know that better than me, you have a MAC clause and in this instance, I would assume after all the financial crisis issues that we had in 2012-2013 with mergers by regulators, there would have been an agreement that there's not over-regulation for UBS post the NewCo transaction. And I wanted to see if there's anything like this. The second question I have is Sergio you also comment that the assessment of capital will be based on what the final outcome is once we better know the outcome of these regulations. And one option is also to look at your legal entities and maybe close some of the legal entities or exit, and clearly a lot of capital is tied up in the US. They make lower returns if I look at US wealth ex-LatAm as well as the US IB, I assume its lower returns. So one option would be a restructuring or exiting of markets to rather than reducing capital return. I wanted to see if that is also an alternative. Thank you.",7 May 2024,1Q24,1q24-earnings-call-remarks.pdf,,JP,"Morgan Yes. Thank you for taking my question. I have a lot of detailed questions, but I wanted to ask two questions actually to Sergio, if I may. The first one is Sergio, your first comment on the call today were, we were asked to do a critical role in Switzerland. And -- the key here is you were asked to buy a distressed asset, a G-SIB asset and when you buy something, which you are asked to buy, you clearly are in control of the process. And I would assume just like you do in an M&A transaction, you know that better than me, you have a MAC clause and in this instance, I would assume after all the financial crisis issues that we had in 2012-2013 with mergers by regulators, there would have been an agreement that there's not over-regulation for UBS post the NewCo transaction. And I wanted to see if there's anything like this. The second question I have is Sergio you also comment that the assessment of capital will be based on what the final outcome is once we better know the outcome of these regulations. And one option is also to look at your legal entities and maybe close some of the legal entities or exit, and clearly a lot of capital is tied up in the US. They make lower returns if I look at US wealth ex-LatAm as well as the US IB, I assume its lower returns. So one option would be a restructuring or exiting of markets to rather than reducing capital return. I wanted to see if that is also an alternative. Thank you.",
Kian Abouhossein,JP,Morgan Thank you.,7 May 2024,1Q24,1q24-earnings-call-remarks.pdf,,JP,Morgan Thank you.,
Giulia Aurora Miotto,Morgan Stanley,"Yeah. Hi. Good morning. So two questions from me as well. The first one just going back on the capital proposal again. And you said, you were not consulted on this document and you need to see what the final proposal looks like. So looking forward, what are the next steps? Do we need to wait until June or are you now part of the discussion, do we expect to have more clarity throughout the year? That's the first question. And then the second question more related to the quarter, there was some performance in transaction fees better than I expected in wealth. I'm wondering, is this just a transitory Q1 thing or is this continuing and what should we expect there? Thank you.",7 May 2024,1Q24,1q24-earnings-call-remarks.pdf,,Morgan Stanley,"Yeah. Hi. Good morning. So two questions from me as well. The first one just going back on the capital proposal again. And you said, you were not consulted on this document and you need to see what the final proposal looks like. So looking forward, what are the next steps? Do we need to wait until June or are you now part of the discussion, do we expect to have more clarity throughout the year? That's the first question. And then the second question more related to the quarter, there was some performance in transaction fees better than I expected in wealth. I'm wondering, is this just a transitory Q1 thing or is this continuing and what should we expect there? Thank you.",
Giulia Miotto,Morgan Stanley,"June 2025 I meant, sorry.",7 May 2024,1Q24,1q24-earnings-call-remarks.pdf,,Morgan Stanley,"June 2025 I meant, sorry.","Yeah, hi Giulia, on the second question about TRX in GWM. So yeah, very strong 1Q. In terms of how we -- how one should think about it, overall in going forward, I'd say a few things. I mean, naturally, the environment needs to be conducive to strong transactional flows – and 1Q was, but I would really highlight that it wasn’t so much just beta. But actually, it’s an environment where you started to see risks come on, you saw some uncertainty, and it’s an environment that plays to our strengths, where we were able to advise in particular, across our regions in more complex, structured products where we saw significant volume up, so really played to our strengths and then also, I think structurally reflects a couple of things in addition that I would say it gives us confidence as we look out forward. One is that the align product shelf, so across Credit Suisse and UBS coming together, and the way we've approached clients from that sense. And on the US side, as I highlighted, just really borrowing from the playbook outside the US, inside the US to really approach clients more jointly with the investment bank is also paying off. So we see there are some structural things that bode well as we look out. Of course, the environment needs to be conducive, but also in an environment like the current one is one that plays to our strengths as mentioned and really allows us to drive transactional flows higher."
Giulia Miotto,Morgan Stanley,Thanks.,7 May 2024,1Q24,1q24-earnings-call-remarks.pdf,,Morgan Stanley,,
Jeremy Sigee,BNP Paribas Exane,"Thank you. Good morning. Two questions, please. One is, you talked about the Investment Bank and the core businesses that you've retained from Credit Suisse and the people you've brought over. I just wanted to – are they now fully productive in revenue terms? Or is there some lag still to come through, as those people ramp up? Are they up to speed already at this point? And then my second question is sort of, again, on the capital theme. I saw in the report, you reiterate your intention to do the 1 billion of buybacks in the second half of this year. I guess, that's a small enough amount that you can do it pretty much regardless of the new capital proposals. But I just wanted to hear your thoughts on that.",7 May 2024,1Q24,1q24-earnings-call-remarks.pdf,,BNP Paribas Exane,"Thank you. Good morning. Two questions, please. One is, you talked about the Investment Bank and the core businesses that you've retained from Credit Suisse and the people you've brought over. I just wanted to – are they now fully productive in revenue terms? Or is there some lag still to come through, as those people ramp up? Are they up to speed already at this point? And then my second question is sort of, again, on the capital theme. I saw in the report, you reiterate your intention to do the 1 billion of buybacks in the second half of this year. I guess, that's a small enough amount that you can do it pretty much regardless of the new capital proposals. But I just wanted to hear your thoughts on that.",
Jeremy Sigee,BNP Paribas Exane,"Very helpful, thank you.",7 May 2024,1Q24,1q24-earnings-call-remarks.pdf,,BNP Paribas Exane,"Very helpful, thank you.",
