Index,Quarter-Year,Asked By,Role of the person Asked the question,Question,Answered By,Role of the person answered the question,Answer
17,3Q24,Mike Mayo,"Analyst, Wells Fargo Securities LLC","Hey. Jamie, I think I've seen you comment on government this year more than any other time in your career. And the August 2 o p-ed, Washington Post, Davos you're talking about government. I think it was this week or last week on Bloomberg, you're saying bank mergers should be allowed. Your bus tour in August, you were asked, which is my question now, under what circumstances would you leave for government service and your answer then was \",Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase & Co.","I think it's wrong. I've always been an American patriot. My country is more important to me than my company, and I think this government is very important to get this – and if you look at the world today, Mike, it is so important that we get things right for the whole geopolitical world. I'm not just talking about the American economy, and we try to participate in policy at the local level, at the state level, at the federal level, at the international level to try to help. That's our job. We try to grow economies and things like that. So nothing has changed in my view, my opinion, or my interest. I just think it's very, very important that we try to help the government do a good job. So if you were asked by the next administration to serve the country, would you be open to considering it? I think the chance of that is almost nil and I probably am not going to do it, but I've always reserved the right. I don't make promise to people. I don't have to. But no, I love what I do. I intend to be doing what I'm doing. I almost guarantee I'll be doing this for a long period of time or at least until the board kicks me out. Let me take the flip side of that question for those of you who are worried about you leaving. The other side of the question is we were on these calls the last couple of years. You're saying the stock is over-valued, and I think that's what you're saying. You're saying the stock market is over-valued and therefore all stocks are over-valued. And on the one hand, you guys, you highlight on this call AI, tech, market share gains, high returns, high capital. So, do you think in some ways when we think about the value of your price, and your ability to do buybacks, you're thinking more about an old school model for valuing your stock as opposed to a new school model that might put you in the category of more tech-oriented firms, especially as it relates to your progress with AI. Listen, you're making a very good point, which is I think we have an exceptional company, exceptional franchises, and the price point at which you might buy the stock. But I'm not that exuberant about thinking even tech valuations or any valuations will stay at these very inflated values. And so I'm just – we're just quite patient in that, and I think you're going to have to judge us over time about whether we're done the right thing to do nothing. And remember, we could always do it. We haven't lost the money. It didn't go away. It's sitting in store. The only time that would be really wrong is if the stock runs way up, we've got to buy at much higher prices. And I just, I would be a real skeptic about that happening."
18,3Q24,Ebrahim H. Poonawala,"Analyst, Bank of America Merrill Lynch","Yeah, good morning. I guess just wanted to follow -up. You talked about private credit and the disruption to bank lending. Another area I would appreciate if you can address is we've been hearing a lot about the likes of Jane Street and other market makers potentially disrupting fixed income trading. Is that a real risk? And is there an opportunity for a firm like JPMorgan to actually compete on the private venue side on market making beyond traditional sort of FICC activity?
Got it. And just one quick one. And, Jeremy, you, I think, mentioned QT stopping at some point. We saw the repo sort of market spike at the end of September. Give us your perspective on just the risk of market liquidity shock as we move into year-end and do you have a view on how quickly Fed should recalibrate QT or actually stop QT to prevent some loss? Thanks.
Got it. Thank you both.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Yeah, Ebrahim, the way I would frame that is not as a risk but as a reality. We've always emphasized in all of our businesses that we operate in an extremely competitive environment, and that applies to – and that competitive environment isn't limited to competing against banks or traditional financial institutions. It extends in the consumer space to fintechs. And in the market making space, it obviously increasingly is extending to some of the types of firms that you're referring to.
Now those firms are, in many cases, also clients. And that's the same type of dynamic that you see, for example, in the private credit space that we've discussed before. So there's no question that the ecosystem is changing. You've got new competitors. You've got changes in market structure, new dynamics. And as with any business, we are innovating and adjusting and making sure that we're prepared to compete in all the traditional ways and all the new ways.
Of course, there are some ways in which being a bank hinders our ability to do that. And one of the arguments that we've made going back to the capital and liquidity regulations is that when you come to the impact on the kind of U.S. capital markets ecosystem, which is the end view of the world, its worked well in its current construct for a long time where some activities were inside the regulated perimeter and there was robust participation from unregulated capital of various sorts. And a world where more and more of that activity gets pushed outside of bank market makers is a meaningful change to that structure that is untested, and it's unclear why you would want that. And we've cautioned that if that's the intent of the regulations, it should be intentional and well-studied. But in the meantime, we're going to adjust and compete to the best of our ability given the constraints of the current rule set.
Yeah. It's a good question, Ebrahim. But I think you've kind of answered your own question. In other words, like the argument out there is that the repo spike that we saw at the end of this quarter was an indication that maybe the market is approaching that lowest comfortable level of reserves that's been heavily speculated about. And recognizing that that number is probably higher and driven by the evolution of firm's liquidity requirements as opposed to some of the more traditional measures.
And side point, it's just another reason why it's important to look at the whole framework holistically when we think about the regulatory response of the events of two springs ago. You don't want those types of spikes and it raises some questions about why there isn't more readiness to deploy into those types of disruptions, albeit this one was relatively minor.
But in any case, when you put all that together, it would seem to add some weight to the notion that maybe QT should be wound down and that seems to be increasingly the consensus that that's going to get announced at some point in the fourth quarter. So my only point was if you play that view through, it's a residual headwind for system-wide deposit growth which gets removed. And that's one of the reasons that we feel that we're probably in the trough of our deposit balances at the level of..."
19,3Q24,Betsy L. Graseck,"Analyst, Morgan Stanley & Co. LLC","Oh, hi. Good morning.
Can you hear me? Hello?
Can you hear me okay?
Oh, yes. Thank you. So one for Jeremy, one for Jamie. Jeremy and Jamie, Sorry about the NII question I'm going to have, but it is more than half your revenue so I kind of care about it.
But when I'm thinking about the trough and then the build-up, QT ending, deposit growth, I mean, that's part of the calculation for improvement as we go into 2025. Right? I should embed that outlook. Is that right? And that's embedded in how you're thinking about it. I know we don't have a number for you for NII for 2025 but it is in there. Right?
Right.
And so Daniel's comments in September were on NII in total or NII ex. Markets? Could you just clarify that?
Okay. Then one for Jamie. Jamie, we did talk already quite a bit about the capital that you have, capital in store. Just wanted to understand how you're thinking about that opportunity set that's in front of you with regard to using it for potentially portfolio acquisitions. I realize that depositories are not on the docket, but we all know there's portfolios out there that might be looking for a home. And could you give us a sense as to how interested you might be in acquiring assets at this stage?
What about loans? The Apple card…
And what about like a private label credit card, for example.
I'm just wondering about private label credit card for example. Is that something that would help clients?
Thank you so much.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Hey, Betsy.
Yeah.
Yeah. We can hear you. Can you hear us?
Yeah. In other words, it goes back to my prior point and to the point that I had in the prepared remarks about the consumer deposit balances in particular –
– that there's lots of different offsetting factors right now, right. You've got the yield curve, you've got Card revolve, you've got balances. And balances have been a headwind. We now see it as neutral and they could potentially become a tailwind later in the year. And one of the potential reasons for that is – one of the potential reasons for that is the potential end of QT, but emphasize the word potential, to Jamie's point.
You also obviously have a little bit of the fixed asset, fixed-rate asset reprice dynamics starting to flow through a little bit. While we're on NII, just to annoy Jamie a little bit more, I do want to make a point that I didn't get a chance to make previously, which is there's a reason that we emphasize the implied fourth quarter run rate for the Markets NII in the presentation which is that if you take that and you annualize it, it gives you a launch point run rate, which is significantly higher than what's currently in the consensus and obviously what we've seen this year. And I'll give you the concise version of my usual speech that changes in Markets NII are almost always bottom-line neutral and offset in NIR. But for the purposes of trying to help you guys with your models, I would just encourage you to recognize what that launch point is, the number of cuts that are in the curve, the fact that that number has historically and in the recent past has been quite liability-sensitive, so you can draw your own conclusions about what that should mean. Again, shouldn't change the overall revenue expectation. It's just a balance sheet and income statement geography issue. But just for the sake of helping you tidy up models, I wanted to make that point.
No. Those were core NII or NII ex.. So again, reiterating at the time, the 2024 consensus was $91.5 billion. The 2025 consensus was $90 billion on NII ex. and our point was that that number, which remains an asset-sensitive number, indicated an insufficient amount of sequential decline year-on-year. The current consensus as we see it for NII ex. Markets is $87 billion. And as we've noted, that's closer albeit maybe still a little bit toppy."
20,3Q24,Saul Martinez,"Analyst, HSBC Securities (USA), Inc","Hey. Good morning. I'm not going to ask about a specific NII in 2025, but I did want to delve into the how to think about your deposit margin in volume dynamics in the CCB over the next few years. You have seen a decent amount of pressure in the deposit margin, 2.6%, down about 30 basis points as deposit balances have come down, so it put some pressure on deposit NII. But deposit margins are still well above where they were when rates were at levels that are consistent with where the forward curve now has been going. So I guess how do we think about both volumes and margin dynamics if rates do come down, say, to the level that are consistent with the forward curve? I know the forward curve is likely going to be long, but that's the reference point we have. And conversely, volume offset. You mentioned, Jeremy, the retail deposits becoming a tailwind. But, I guess, how much of a tailwind could they be, especially as you are expecting to gain quite a bit of market share in retail deposits? So just give us a sense of sort of the push and pull of these dynamics that really help drive the deposit, the value of the deposit franchise. Okay. That's helpful. So it sounds like you're a little bit above that, but there's still some pressure. But you're not dramatically above those levels. Yes. Got it. Okay. That's helpful. Thanks a lot. That's all I got.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Sure. Yeah, thanks for the question, Saul. And I think you've laid out the building blocks there already. Just for simplicity, I'm going to try to answer your question without referring to the disclosed CCB deposit margin number, just because that number is obviously the combination of the rate paid on the CCB deposits and the internal FTP into that. And that is a complicated thing that evolves as a function of the modeling of the betas and other things. So I think it's actually more helpful to look at this simply from a Firmwide perspective and look at the evolution of the rate paid in the context of the policy rates roughly, and just set aside the duration management and all those sort of factors. And I think when you do that, what you see is we've been saying for a while that the deposit margin defined for these purposes is simply the difference between the policy rate and the weighted-average rate paid of the consumer deposits, was unsustainably high. And that was going to have to correct one way or the other. Either deposits were going to reprice at the product level through checking and savings, and/or we were going to see a ton of internal migration, i.e. growth in the CD mix, and/or we would see a lower policy rate. So as we sit here right now, of course, we make pricing decisions in the context of market competition at any given moment looking at what the environment is for deposits, but we have not needed to reprice in order to retain primary bank relationships which was also our core strategy. We were never going to chase sort of the hot money at the margin. We've leaned in heavily to CDs and gotten to the current level of CD mix, and that's been a good strategy. And from where we sit now, we now have the margin coming down as a result of the policy rate coming down. It seems that, that puts us in a pretty comfortable position from a pricing perspective. We think the CD mix has probably peaked. Now, on the way down, it's not going to go back down to zero, where it was at the beginning of the cycle. That's an important thing to realize. So all else equal, that creates a little bit of margin compression. And then through all of that, obviously, a lower yield environment should mean that there's a little bit less outflow from consumer deposits, as I mentioned. We're seeing a lot less yield-seeking behavior. So then when you overlay onto that what you mentioned, which is our long-term share growth in CCB deposits, in no small part as a function of the brand strategy and the buildout and the fact that only about a quarter of our top 125 markets in CCB are at that 15% share number, so we believe there's big opportunity to grow the rest of it and be on track at the type of average annual share growth of the order of 30 basis points or 40 basis points that we've seen historically. That's how you kind of assemble a tailwind from normalized deposit margin and balance growth in Consumer. Thanks, Saul. Thanks, everyone."
21,2Q24,Steven Chubak,"Analyst, Wolfe Research LLC","Hi. Good morning, Jeremy.
So, wanted to start off with a question on capital just given some indications that the Fed is considering favorable revisions to both Basel III Endgame and the GSIB surcharge calculations, which I know you've been pushing for some time. As you evaluate just different capital scenarios, are these revisions material enough where they could support a higher normalized ROTCE at the Firm versus the 17% target? And if so, just how that might impact or inform your appetite for buybacks going forward?
No need to apologize, Jeremy. That was a really helpful perspective. Maybe just for my follow-up on NII, you've been very consistent just in flagging the risk related to NII overearning, especially in light of potential deposit attrition as well as repricing headwinds. In the second quarter, we did see at least some moderation in repricing pressures, deposit balances were also more resilient in with a seasonally weak quarter for deposit growth. So, just given the evidence that some deposit pressures appear to be abating, do you see the potential for NII normalizing higher? And where do you think that level could ultimately be in terms of stabilization?
Understood, Jeremy. Thanks so much for taking my questions.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Good morning, Steve.
Right. Okay. Thanks, Steve. And actually, before answering the question, I just want to remind everyone that Jamie is not able to join because he has a travel conflict overseas, so it's just going to be me today.
Okay. Good question on the capital and the ROTCE. So, let me start with the ROTCE point first. In short, my answer to that question would be no. It's hard to imagine a scenario coming out of the whole potential range of outcomes on capital that involves an upward revision on ROTCE. If you think about the way we've been talking about this, we've said that before the Basel III Endgame proposal, we had a 17% through the cycle target, and that while you can imagine a range of different outcomes, the vast majority of them involve expansions of the denominator. And while we had ideas about changing the perimeter and repricing, all of which are still sort of in effect, most of those would be thought of as mitigants rather than things that would actually, like increase the ROTCE. And I don't really think that answer has particularly changed.
So, as of now, that's what I would say, which is a good pivot to the next point, which is, yeah, we've been reading the same press coverage you've been reading and it's fun and interesting to speculate about the potential outcomes here. But in reality, we don't know anything you don't know. We don't know how reliable the press coverage is. And so, in that sense, I feel like on the overall capital return and buyback trajectory, not much has actually changed relative to what I laid out at Investor Day, the comments that I made then, the comments that Jamie made then, as well as the comments that Jamie made the subsequent week at an industry conference.
So, maybe I'll just briefly summarize for everyone's benefit what we think that is, which is, one, we do recognize that our current practice on capital return and buybacks does lead to an ever-expanding CET1 ratio. But obviously, we're going to run the company over the cycle over time at a reasonable CET1 ratio with reasonable buffers relative to our requirement. So, after all the uncertainty is sorted out, the question of the deployment of the capital, one way or another, is a matter of when, not if.
On the capital hierarchy, it's also worth noting that's another thing that remains unchanged, so I'll review it quickly. Growing the business organically and inorganically, sustainable dividend, and in that context it's worth noting that the board's announced intention to increase it to $1.25 is a 19% increase prior to last year. So, that's a testament to our performance and that is a return of capital.
And then, finally buybacks. But that hierarchy does not commit us to return 100% of the capital generation in any given quarter. And so, as we sit here today, when you look at the relationship between the opportunity cost of not deploying the capital and the opportunities to deploy the capital outside the Firm, it's kind of hard to imagine an environment where that relationship argues more strongly for patience. So, given all that, putting it all together, and sorry for the long answer, we remain comfortable with the current amount of excess capital. And as Jamie has said, we really continue to think about it as earnings in store as much as anything else.
Yeah. Interesting question, Steve. So, let's talk about deposit balances. So, yeah, I see your point about how balance pressures are slightly abating. When you look at the system as a whole, just to go through it, QT is still a bit of a headwind, loan growth is modest and not enough to offset that. And our PE seems to have settled in roughly at its current levels, and there are reasons to believe that it might not go down that much more, although that could always change and that could supply extra reserves into the system. But on balance net across all those various effects, we still think that there are net headwinds to deposit balances. So, when we think of our balance outlook, we see it as flat to slightly down maybe with our sort of market share and growth ambitions offsetting those system-wide headwinds.
So, in terms of normalizing higher, I guess it depends on relative to what, but I think it's definitely too early to be sort of calling the end of the overearning narrative or the normalization narrative. Clearly, the main difference in our current guidance relative to what we had earlier in the year, which implied a lot more sequential decline, is just the change in the Fed outlook. So, two cuts versus six cuts is the main difference there. But obviously, based on the latest inflation data and so on, you could easily get back to a situation with a lot more cuts in the yield curve. So, we'll see how it goes and in the end, we're kind of focused on, on just running the place, recognizing, and trying not to be distracted by what remains some amount of overearning, whatever it is.
Thanks, Steve."
22,2Q24,Saul Martinez,"Analyst, HSBC Securities (USA), Inc","Hi, good morning. Thanks for taking my question. Jeremy, can you give an update on the stress capital buffer? You noted obviously that you think there is an error in the Fed's calculation due to OCI. Can you just give us a sense of what the dialogue with the Fed looks like? Is there a process to modify the SCB higher and if you could give us a sense of what that process looks like?
Okay, got it. That's helpful. Just following up on capital returns on Steve's question, I think you highlighted in response it's a matter of when, not if, and obviously, Jamie’s not there, you can’t speak for Jamie, but seems to have shown limited enthusiasm for a special dividend or buybacks at current valuations. Can you just give us a sense of how you’re thinking about the various options? Any updated thoughts on a special dividend? And can you do other things like, for example, have a material increase in your dividend payout, sort of a step function increase, where keep that flat and grow into that, grow your earnings into that over time? Can you just maybe give us a sense of how you're thinking about what options you have available to deploy that capital?
Okay, great. Thanks a lot.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Yeah. So, I'm not going to comment about any conversations with the Fed – not to confirm or deny that they even exist. That stuff is private. And so, then if you talk about, like the timing here, right, so you know that the stress capital buffer that's been released at 3.3% is a preliminary number. By rule, the Fed has to release that by August 31. It may come sooner. You talked about an error in the calculation. We haven't used that word. What we know, what we believe rather is that the amount of OCI gain that came through the Fed's disclosed results looked non-intuitively high to us. And if you adjust that in ways that we think are reasonable, you would get a slightly higher stress capital buffer. Whether the Fed agrees and whether they decide to make that change or not is up to them, and we'll see what happens.
I think the larger point is that if you look at the industry as a whole and if you sort of put us into that with some higher pro forma’d SCB, whatever it might suitably be, you actually see once again quite a bit of volatility in the year-on-year change in the stress capital buffer for many firms. And just sort of reiterating and another example of what we've said a lot over the years that it's volatile, it's untransparent, it makes it very hard to manage capital of a bank. It leads to excessively high management buffers, and we think it's really not a great way to do things. So, I'll leave it at that.
Sure. Yeah. I mean, I would direct you to read, I'm sure you have, Jamie's comments at the industry conference, where he participated the week after Investor Day because he went into just good amount of detail on this stuff, addressing some of these points. And I think this comment there about the special dividend was that it's not really our preference. We hear from people that many of our investors wouldn't find that particularly appealing, and he said as much that it wouldn't be sort of our first choice.
So, I think the larger point is just that, a little bit to your question, there are a number of tools in the toolkit and they're really the same tools that are part of our capital hierarchy. So, first and foremost, we're looking to deploy the capital into organic or inorganic growth. And then, the dividend, I think we're always going to want to keep it in that sort of, like sustainable and also sustainable in a stressed environment so that continues to be the way we think about that. And then, at the end of it, it's buybacks and Jamie's been on the record for over a decade, I think, over many shareholder letters, talking about how he thinks about price and buybacks and valuation and price is a factor. So, that's sort of the totality of the set of options, I guess.
Thanks, Saul."
23,2Q24,Ken Usdin,"Analyst, Jefferies LLC","Thanks a lot. Good morning, Jeremy. Jeremy, great to see the progress on Investment Banking fees up sequentially and 50% year -over-year, and I saw you on the tape earlier just talking about still regulatory concerns a little bit in the advisory space and we clearly didn't see the debt pull-forward play through because your DCM was great again. I'm just wondering just where you feel the environment is relative to the potential and just where the dialogue is across the three main bucket areas in terms of, like how does this feel in terms of a current environment versus a potential environment that we could still see ahead. Thanks. Great. Thank you for all that, Jeremy. And just one on the Consumer side, just anything you're noticing in terms of people just have been waiting for this delinquency stabilization on the Credit Card side. Obviously, your loss rates are coming in as you expected, and we did see 30 days pretty flat and 90 days come down a little bit. Is that seasonal? Is it just a good rate of change trend? Any thoughts there? Thanks. Thank you.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Yeah. Thanks, Ken. It's progress, right? I mean, we're happy to see the progress. People have been talking about depressed banking fee wallet for some time and it's nice to see not only the year-on-year pop from a low base, but also a nice sequential improvement. So, that's the first thing to say. In terms of dialog and engagement, it's definitely elevated. So, the dialog on ECM is elevated, and the dialog on M&A is quite robust as well. So, all of those are good things that encourage us and make us hopeful that we could be seeing sort of a better trend in this space. But there are some important caveats. So, on the DCM side, yeah, we made pull-forward comments in the first quarter, but we still feel that this second quarter still reflects a bunch of pull-forward and therefore, we're reasonably cautious about the second half of the year. Importantly, a lot of the activity is refinancing activity as opposed to, for example, acquisition finance. So, the fact that M&A remains still relatively muted in terms of actual deals has knock-on effects on DCM as well. And when a higher percentage of the wallet is refied, then the pull-forward risk becomes a little bit higher. On ECM, if you look at it kind of at a remove, you might ask the question, given the performance of the overall indices, you would think it would be a really booming environment for IPOs for example. And while it's improving, it's not quite as good as you would otherwise expect, and that's driven by a variety of factors, including the fact that, as has been widely discussed, the extent to which the performance of the large indices is driven by, like a few stocks, the sort of mid-cap tech growth space and other spaces that would typically be driving IPOs have had much more muted performance. Also, a lot of the private capital that was raised a couple years ago was raised at pretty high valuations. And so, in some cases, people looking at IPOs could be looking at down-rounds, that's an issue. And while secondary market performance of IPOs has improved meaningfully, in some cases people still have concerns about that. So, those are a little bit of overhang on that space. I think we can hope that over time that fades away and the trend gets a bit more robust. And, yeah, on the advisory side, the regulatory overhang is there, remains there, and so, we'll just have to see how that plays out. Yeah. I still feel like when it comes to Card charge-offs and delinquencies, there's just not much to see there. It's still – it's normalization, not deterioration. It's in line with expectations. As I say, we always look quite closely inside the cohort, inside the income cohorts. And when you look in there, specifically, for example, on spend patterns, you can see a little bit of evidence of behavior that's consistent with a little bit of weakness in the lower income segments where you see a little bit of rotation on the spend out of discretionary into non-discretionary. But the effects are really quite subtle and in my mind definitely entirely consistent with the type of economic environment that we're seeing, which while very strong and certainly a lot stronger than anyone would have thought given the tightness of monetary conditions, say, like they've been predicting it a couple of years ago or whatever, you are seeing slightly higher unemployment, you are seeing moderating GDP growth. And so, it's not entirely surprising that you're seeing a tiny bit of weakness in some pockets of spend. So, it all kind of hangs together in what is in some sense actually not a very interesting story. Thanks, Ken."
24,2Q24,Glenn Schorr,"Analyst, Evercore ISI","Hi, thanks very much. So, Jeremy, the discussions so far around private credit and you all, your recent comments have been the ability to add on balance sheet and compete when you need to compete on the private credit front. And I do think that most of the discussion has been about the direct lending component. So, I'm curious if you're showing more progress and activity on that front. And then, very importantly, do you see the same trend happening on the asset-backed finance side because that's a bigger part of the world and it's a bigger part of your business? So, I'd appreciate your thoughts there. Thanks. No. That's great for you if you're not hearing much about it, so we can leave it at that. Maybe just one quick follow-up in terms of your just overall posturing. You were patient and smart when rates were low, waited to deploy, worked out great, we know that story. Now, it seems like you have tons of excess liquidity and you're being patient and rates are high, and I'm curious on how you think about what kind of triggers, what kind of things you're looking for in the market to know if and when you would extend duration. Super helpful. Thanks so much for that.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Yeah. Thanks, Glenn. So, on private credit, so nothing really new to say there. I think, I guess, one way the environment's evolving a little bit is, as you know, a lot of money has been raised in private credit funds looking for deals. And sort of a little bit to my prior comment, in a relatively muted acquisition finance environment, at this point you've got a lot of money chasing, like not that many deals. So, the space is a little bit quieter than it was at the margin. Another interesting thing to note is some of this discussion about kind of lender protections that were typical in the syndicated leveraged finance market making their way into the private market as well as sort of people realize that even in the private market you probably need some of those protections in some cases, which is sort of supportive of the theme that we've been talking about, about convergence between the direct lending space and the syndicated lending space, which is kind of our core thesis here, which is that we can offer best-in-class service across the entire continuum, including secondary market trading and so on. So, we feel optimistic about our offering there. I think the current environment is maybe a little bit quieter than it was. So, it's maybe not a great moment to, like kind of test whether we're doing a lot more or less in the space, so to speak. And then, on asset-backed financing, you actually asked me that question before, and at the time, my answer was that I hadn't heard much about that trend and that continues to be the case. But clearly, there must be something I'm missing. So, I can follow up on that and maybe we can have a chat about it. Right. I mean, on duration, in truth, we have actually added a little bit of duration over the last couple of quarters. So, that's one thing to say. That was more last quarter than this quarter. But, I guess, I would just caution you from a little bit away from looking at kind of our reported cash balances and our balance sheet and concluding that, when you look at the duration concept holistically, that there is a lot to be done differently on the duration front. So, clearly, it's true that empirically we behaved, like very asset-sensitively in this rate hiking cycle and that has resulted in a lot of excess NII generation sort of on the way up in the near term. But when we look at the Firm's overall sensitivity to rates, we look at it through both, like the EaR-type lens, a short-term NII sensitivity, but also a variety of other lenses, including various types of scenario analysis, including impacts on capital and higher rates. And as I think Jamie has said a couple times, we actually aim to be relatively balanced on that front. Also, given, like the inverted yield curve, it's not as if extending duration from these levels means that you're locking in 5.5% rates. In fact, the forwards are not sort of that compelling given our views about some sort of structural upward pressures on inflation and so on. So, I think when you put that all together, I don't think that kind of a big change in duration posture is a thing that's front of line for us. Thanks, Glenn."
25,2Q24,Matt O'Connor,"Analyst, Deutsche Bank Securities, Inc.","Good morning. I was just wondering if you can elaborate on essentially the math behind the ROTCE being too high at 20% and more normalized at 17%. Obviously, you've pointed to overearning on NII. And I guess, the question is, is that all of it to go from 20% to 17%? And if so, is that all consumer deposit costs or are there a few other components that you could help frame for us?
Yeah, that was a really helpful chart. Just the one follow-up, on the yield curve effects, I guess, what do you mean by that because right now the yield curve is inverted, maybe you're still breathing in the impact of that. But kind of longer term, you'd expect little bit of steepness of the curve, which I would think would help. But what did you mean by that? Thank you.
Got it. Okay. Thank you for the details.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Sure. Good question, Matt. I mean, I guess, the way I think about it is a couple of things, like our returns tend to be a bit seasonal, right? So, if you kind of build yourself out a full-year forecast and make reasonable, just based on your own or analyst consensus or whatever and you think about fourth quarter, like better look at this on a full-year basis when you think about the returns than the quarterly numbers and you obviously have to strip out kind of the one-time items. And so, if you do that, like whatever you get for this year, is still clearly a number that's higher than the 17%. So, yeah, one source of headwinds is normalization of the NII, primarily as a result of expected higher deposit costs. That's – we've talked about that. Part of it is also the yield curve effects. Some cuts will come into the curve at some point.
And in the normal course, if you kind of do a very, very, very simple mental model of the company, you would have, like revenues growing at some organic GDP, like rate maybe higher, and expenses growing at a similar slightly lower rate producing a sort of relatively stable overhead ratio. But even if the amount of NII normalization winds up being less than we might have thought at some prior point, you still have some normalization of the overhead ratio that needs to happen. So, as much as our discipline on expense management is as tight as it always has been there, inflation is still non-zero. There are still investments that we're executing. There's still higher expense to come in a slightly flatter revenue environment as a result of, in part, the normalization of NII.
And then, the final point is that whatever winds up being the answer on Basel III Endgame and all the other pieces, you have to assume some amount of expansion of the denominator, at least based on what we know so far. So, of course, any of those pieces could be wrong, but that's kind of how we get to our 17%. And if you look at the various scenarios that we showed on the last page of my Investor Day presentation, it illustrates those dynamics and also how much the range could actually vary as a function of the economic environment and other factors.
Yeah. I mean, you and I have talked about this before, I guess. I sort of – I guess, I don't really agree fundamentally with the notion that the way to think about things is that sort of yield curve steepness above and beyond what's priced in by the forewords is a source of structural NII or NIM for banks, if you know what I mean. Like, I mean, people have different views about the so-called term premium and obviously, in a moment of inverted curve and different types of treasury supply dynamics, people's thinking on that may be changing.
But I think we saw when rates were at zero and the 10-year note was below 2%, everyone sort of – many people were kind of tempted to try to get extra NIM, extra NII by extending duration a lot. But when the steepness of the curve implies, it is driven by the expectation of actually aggressive Fed tightening, it's just a timing issue and you can wind up kind of pretty offsides from a capital and other perspectives, so. There're some interesting questions about whether fiscal dynamics might result in a structurally steeper yield curve down the road and whether that could be sort of earning the term premium, so to speak, could be a source of NII. But that feels a bit speculative to me at this point.
Thanks, Matt."
26,2Q24,Mike Mayo,"Analyst, Wells Fargo Securities LLC","Hi. Jeremy, you said it's too early to end the overearning narrative and you highlighted higher deposit costs and the impact of lower rates and lower NII and DCM pull-forward and credit costs going higher. Anything I'm missing in that list? And what would cause you to end the overearning narrative? Your 17% through the cycle ROTCE expectation, what is the CET1 ratio that you assume for that? Let me just zoom out for one more question on the return target. I mean, when I asked Jamie at the 2013 Investor Day, would it make sense to have 13.5% capital, he was basically telling me to take a hike, right? And now, you have 15.3% capital and you're saying, well, we might want to have a lot more capital here. I mean, at some point, if you're spending $17 billion a year to improve the company, if you're gaining share with digital banking, if you're automating the back office, if you're moving ahead with AI, if you're doing all these things that I think you say others aren't doing, why wouldn't those returns go higher over time or do you just assume you'll be competing those benefits away? Thanks. All right. Thank you.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","No. Actually, I think that is the right list, Mike. I mean, frankly, I think one thing that would end the overearning narrative is if our annual returns were closer to 17%. I mean, to the extent that that is the through the cycle number that we believe and that we're currently producing more than that, that's one very simple way to look at that. But the pieces of that are the pieces that you talked about and the single most important piece is the deposit margin. Our deposit margins are well above historical norms, and that is a big part of the reason that we still are emphasizing the overearning narrative. I mean, we would generally assume requirements plus a reasonable buffer, which, depending on the shape of rules, could be a little bit smaller or a little bit bigger and no small part is a function of the volatility of those rules, which goes back to my prior comments on SCB and CCAR. But obviously, as you well know, what actually matters is less the ratio and more the dollars and at this point, the dollars are very much a function of where rules land and where the RWA lands and obviously, things like GSIB recalibration and so on. So, we've done a bunch of scenario analysis along the lines of what I did at Investor Day that informs those numbers. But that is obviously one big element of uncertainty behind that 17%, which is why at Investor Day when we talked about it, both Daniel and I were quite specific about saying that we thought 17% was still achievable, assuming a reasonable outcome on the Basel III Endgame. Yeah. I mean, I think in short, Mike, and we've talked about this a lot and Jamie's talked about this a lot, it's a very, very, very competitive market, and we're very happy with our performance. We're very happy with the share we've taken, and 17% is like an amazing number actually. And like, to be able to do that, given how robust the competition is from banks, from non-banks, from U.S. banks, from foreign banks, and all of the different businesses that we compete in, is something that we're really proud of. So, the number has a range around it, obviously. So, it's not a promise, it's not a guarantee, and it can fluctuate. But we're very proud to be in the ballpark of being able to think that we can deliver it, again, assuming a reasonable outcome on Basel III Endgame."
